KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.249768,0.249768,0.000254766,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.256312,0.256312,7.2025e-05,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.254563,0.254563,7.3809e-05,0,0
1,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.406277,0.406277,7.4026e-05,0,0
1,1,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.249657,0.249657,7.1107e-05,0,0
1,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.249221,0.249221,7.4523e-05,0,0
1,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.249247,0.249247,7.3158e-05,0,0
1,2,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.23982,0.23982,7.9473e-05,0,0
1,4,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.238092,0.238092,8.1778e-05,0,0
1,8,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.242529,0.242529,7.7715e-05,0,0
2,4,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.291313,0.291313,8.3042e-05,0,0
4,4,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.241687,0.241687,7.4819e-05,0,0
