KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.318679,0.318679,8.5772e-05,0,0
4,8,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.326834,0.326834,7.5435e-05,0,0
4,8,2,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.589424,0.589424,7.2021e-05,0,0
4,8,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.505142,0.505142,7.4128e-05,0,0
4,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.358422,0.358422,7.2674e-05,0,0
4,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.487618,0.487618,7.3159e-05,0,0
4,1,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.494467,0.494467,7.2989e-05,0,0
4,2,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.328559,0.328559,8.6243e-05,0,0
4,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.298909,0.298909,9.9854e-05,0,0
1,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.285567,0.285567,7.2865e-05,0,0
2,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.274212,0.274212,7.4148e-05,0,0
8,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.277807,0.277807,7.4787e-05,0,0
2,4,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.321629,0.321629,0.000100611,0,0
2,4,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.306408,0.306408,0.000126345,0,0
2,4,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.305433,0.305433,7.4882e-05,0,0
2,4,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.283613,0.283613,0.000103592,0,0
2,4,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.313345,0.313345,0.000101411,0,0
2,4,2,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.333505,0.333505,9.1557e-05,0,0
2,4,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.553448,0.553448,0.000101569,0,0
2,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.63406,0.63406,7.2612e-05,0,0
2,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.326909,0.326909,0.000106544,0,0
2,1,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.470459,0.470459,9.8918e-05,0,0
2,2,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.375104,0.375104,7.7232e-05,0,0
2,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.286125,0.286125,0.000107454,0,0
