KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,4,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.315504,0.315504,7.0472e-05,0,0
1,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.312052,0.312052,0.000129709,0,0
1,4,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.312795,0.312795,8.7523e-05,0,0
1,4,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.321756,0.321756,8.6911e-05,0,0
1,4,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.598565,0.598565,8.7337e-05,0,0
1,4,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.31129,0.31129,0.000204261,0,0
1,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.310649,0.310649,0.000126413,0,0
2,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.197126,0.197126,0.000155173,0,0
4,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162646,0.162646,8.7156e-05,0,0
8,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.16591,0.16591,8.961e-05,0,0
4,1,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.1779,0.1779,0.000133928,0,0
4,2,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.164394,0.164394,8.5965e-05,0,0
4,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.16499,0.16499,8.9057e-05,0,0
4,4,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162038,0.162038,0.000115502,0,0
4,4,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.164116,0.164116,8.9098e-05,0,0
4,4,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.16213,0.16213,0.000125391,0,0
4,4,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162583,0.162583,0.000238927,0,0
4,4,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.16181,0.16181,0.000151386,0,0
4,4,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162348,0.162348,0.000242283,0,0
4,4,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.170655,0.170655,0.00010436,0,0
4,4,2,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.257408,0.257408,8.4281e-05,0,0
4,4,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.164343,0.164343,0.000127911,0,0
4,4,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.165163,0.165163,9.1911e-05,0,0
1,4,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.313286,0.313286,0.000129585,0,0
2,4,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.192031,0.192031,0.000204545,0,0
8,4,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162417,0.162417,8.4507e-05,0,0
4,1,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.178066,0.178066,8.5981e-05,0,0
4,2,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.163149,0.163149,9.4925e-05,0,0
4,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.165457,0.165457,9.1849e-05,0,0
4,4,1,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162704,0.162704,8.1384e-05,0,0
4,4,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.161619,0.161619,0.000129687,0,0
4,4,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.16342,0.16342,9.344e-05,0,0
4,4,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.161518,0.161518,0.000364185,0,0
4,4,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162244,0.162244,8.5248e-05,0,0
4,4,4,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.168167,0.168167,0.000148996,0,0
4,4,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.257142,0.257142,8.8448e-05,0,0
4,4,4,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.177641,0.177641,0.000145427,0,0
4,4,4,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.176528,0.176528,8.5948e-05,0,0
1,4,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.310217,0.310217,0.000115718,0,0
2,4,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.192685,0.192685,8.9267e-05,0,0
8,4,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.171105,0.171105,8.8217e-05,0,0
4,1,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.179017,0.179017,0.000120204,0,0
4,2,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.165032,0.165032,8.4664e-05,0,0
4,8,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.16127,0.16127,0.000119403,0,0
4,8,1,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162885,0.162885,8.0539e-05,0,0
4,8,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.163427,0.163427,0.000111117,0,0
4,8,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.163492,0.163492,8.9931e-05,0,0
4,8,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.164011,0.164011,0.000132716,0,0
4,8,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.164681,0.164681,8.7375e-05,0,0
4,8,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.163921,0.163921,0.000137217,0,0
4,8,4,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.168631,0.168631,8.3801e-05,0,0
4,8,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.250298,0.250298,0.00033775,0,0
4,8,4,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.172969,0.172969,8.4734e-05,0,0
4,8,4,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.169629,0.169629,0.000112574,0,0
1,8,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.310601,0.310601,8.7178e-05,0,0
2,8,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.191924,0.191924,0.000156098,0,0
8,8,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.169404,0.169404,8.3326e-05,0,0
