KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_MAX_DIM_UNROLL, KERNEL_TRANS_PREFETCH_SIZE, KERNEL_TRANS_STORE_DATA, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_TRANS_USE_LOCAL_MEMORY, OPTIMIZATION_FLAGS, TRANS_LOCAL_SIZE, VERBOSE, duration
8, 1, 1, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.212547
1, 1, 1, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.263348
8, 1, 1, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.212094
8, 1, 1, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.212227
8, 1, 1, 16, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.216522
8, 1, 1, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.212095
8, 1, 1, 64, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.209796
8, 1, 1, 64, array, false, false, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.324789
8, 1, 1, 64, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.212173
8, 1, 1, 16, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.216047
