KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_MAX_DIM_UNROLL, KERNEL_TRANS_PREFETCH_SIZE, KERNEL_TRANS_STORE_DATA, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_TRANS_USE_LOCAL_MEMORY, OPTIMIZATION_FLAGS, TRANS_LOCAL_SIZE, VERBOSE, duration
2, 1, 2, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.223853
1, 1, 2, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.262507
2, 1, 2, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.22389
2, 1, 1, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.223986
2, 1, 2, 16, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.230418
2, 1, 2, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.22398
2, 1, 2, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.223975
2, 1, 2, 32, array, true, false, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.361908
2, 1, 2, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.223916
2, 1, 2, 16, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.230361
