KERNEL_DATA_BLOCK_SIZE, KERNEL_GRID_SPLIT, KERNEL_MAX_DIM_UNROLL, KERNEL_PREFETCH_SIZE, KERNEL_STORE_DATA, KERNEL_TRANSFER_WHOLE_DATASET, KERNEL_USE_LOCAL_MEMORY, LOCAL_SIZE, OPTIMIZATION_FLAGS, VERBOSE, duration
2, 4, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0967022
1, 4, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.119133
2, 1, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.106267
2, 4, 1, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0946717
2, 4, 10, 16, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0982477
2, 4, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0962298
2, 4, 10, 32, array, true, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0920046
2, 4, 10, 32, array, false, false, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.143769
2, 4, 10, 16, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0990224
2, 4, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0966241
