KERNEL_DATA_BLOCK_SIZE, KERNEL_GRID_SPLIT, KERNEL_MAX_DIM_UNROLL, KERNEL_PREFETCH_SIZE, KERNEL_STORE_DATA, KERNEL_TRANSFER_WHOLE_DATASET, KERNEL_USE_LOCAL_MEMORY, LOCAL_SIZE, OPTIMIZATION_FLAGS, VERBOSE, duration
2, 4, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
1, 4, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
2, 1, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
2, 4, 1, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
2, 4, 10, 16, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
2, 4, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
2, 4, 10, 32, array, true, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
2, 4, 10, 32, array, false, false, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
2, 4, 10, 16, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
2, 4, 10, 32, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
