KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.312533,0.312533,0.00012328,0,0
2,8,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.465319,0.465319,0.000193351,0,0
2,8,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.418154,0.418154,0.000194742,0,0
1,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.360547,0.360547,0.000154411,0,0
4,2,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.326746,0.326746,0.000193351,0,0
1,8,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.511671,0.511671,0.000197191,0,0
1,8,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.529617,0.529617,0.000190011,0,0
1,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.38412,0.38412,0.000160351,0,0
4,8,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.409967,0.409967,0.000151391,0,0
4,2,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.294999,0.294999,0.000197061,0,0
8,4,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.276673,0.276673,0.000155341,0,0
4,1,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.214497,0.214497,0.000193471,0,0
4,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.272019,0.272019,0.000188972,0,0
1,2,2,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.399153,0.399153,0.000236141,0,0
8,1,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.345196,0.345196,0.000193292,0,0
8,8,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.417765,0.417765,0.000197562,0,0
1,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.399207,0.399207,0.000195151,0,0
1,2,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.418598,0.418598,0.000196811,0,0
1,8,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.54644,0.54644,0.000190571,0,0
