KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.44592,0.44592,0.000102631,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.696502,0.696502,0.000141591,0,0
1,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.44669,0.44669,0.000198371,0,0
1,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.447322,0.447322,0.000192171,0,0
1,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.461544,0.461544,0.000157181,0,0
1,1,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.447211,0.447211,0.000191632,0,0
2,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.452008,0.452008,0.000179531,0,0
4,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.466764,0.466764,0.000190911,0,0
8,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.675406,0.675406,0.000195441,0,0
1,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.438875,0.438875,0.000188322,0,0
1,4,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.423555,0.423555,0.000267522,0,0
1,8,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.412168,0.412168,0.000274902,0,0
1,8,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.416377,0.416377,0.000190051,0,0
1,8,4,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.415572,0.415572,0.000196961,0,0
1,8,10,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.423082,0.423082,0.000181081,0,0
1,8,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.442217,0.442217,0.000195191,0,0
1,8,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.714816,0.714816,0.000188611,0,0
1,8,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.423994,0.423994,0.000151001,0,0
1,8,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.434469,0.434469,0.000197351,0,0
1,8,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.438841,0.438841,0.000231932,0,0
1,8,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.410461,0.410461,0.000185341,0,0
2,8,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.416266,0.416266,0.000186721,0,0
4,8,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.399846,0.399846,0.000180741,0,0
8,8,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.61098,0.61098,0.000186681,0,0
4,1,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.458007,0.458007,0.000139531,0,0
4,2,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.42129,0.42129,0.000175721,0,0
4,4,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.41454,0.41454,0.000166531,0,0
4,8,2,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.415165,0.415165,0.000194251,0,0
4,8,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.39301,0.39301,0.000179621,0,0
4,8,10,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.41469,0.41469,0.000147951,0,0
4,8,4,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.419833,0.419833,0.000183801,0,0
