KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,2,1,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.244763,0.244763,0.000128201,0,0
4,8,2,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.168439,0.168439,0.000139531,0,0
4,4,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.234655,0.234655,0.000150771,0,0
4,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.176523,0.176523,0.000188041,0,0
1,2,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.236775,0.236775,0.000189491,0,0
1,4,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.300542,0.300542,0.000198391,0,0
2,1,10,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.307895,0.307895,0.000129131,0,0
2,2,4,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.28488,0.28488,0.000150911,0,0
8,1,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.425425,0.425425,0.000201681,0,0
2,4,4,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.187112,0.187112,0.000194231,0,0
4,4,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.166505,0.166505,0.000144991,0,0
8,4,10,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.225956,0.225956,0.000269411,0,0
8,8,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.216038,0.216038,0.00011424,0,0
8,1,2,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.432241,0.432241,0.000181451,0,0
8,1,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.270277,0.270277,0.000192901,0,0
8,1,1,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.431845,0.431845,0.000211571,0,0
4,2,4,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.182601,0.182601,0.000185771,0,0
8,8,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.216713,0.216713,0.000142231,0,0
2,1,10,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.30472,0.30472,0.000271012,0,0
1,4,4,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.290596,0.290596,0.000225562,0,0
4,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.284579,0.284579,0.000195561,0,0
4,4,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.2363,0.2363,0.000179391,0,0
8,4,10,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.344679,0.344679,0.000193611,0,0
2,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.301743,0.301743,0.000180261,0,0
2,1,1,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.311646,0.311646,0.000185391,0,0
8,8,1,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.33835,0.33835,0.000177331,0,0
1,1,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.335342,0.335342,0.000182101,0,0
1,8,10,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.208647,0.208647,0.000182091,0,0
2,8,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.268115,0.268115,0.000179971,0,0
2,2,4,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.285563,0.285563,0.000145031,0,0
4,1,1,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.291227,0.291227,0.000271622,0,0
4,8,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.167337,0.167337,0.000100331,0,0
1,4,10,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.298864,0.298864,0.00013958,0,0
1,2,1,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.310416,0.310416,0.000182461,0,0
2,2,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.284585,0.284585,0.000180211,0,0
4,1,4,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.201114,0.201114,0.000143161,0,0
2,8,4,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.25677,0.25677,0.000275962,0,0
4,2,1,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.181932,0.181932,0.000179031,0,0
4,1,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.212242,0.212242,0.000178711,0,0
8,2,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.370794,0.370794,0.000142081,0,0
