KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,4,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.298361,0.298361,0.00010891,0,0
4,1,2,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.329804,0.329804,0.000160771,0,0
8,1,2,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.372073,0.372073,0.000199181,0,0
4,1,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.274179,0.274179,0.000196651,0,0
4,4,4,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.290584,0.290584,0.000154141,0,0
4,2,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.265892,0.265892,0.000196441,0,0
1,2,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.528365,0.528365,0.000201911,0,0
4,1,4,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.273915,0.273915,0.000209952,0,0
4,2,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.268035,0.268035,0.000186651,0,0
4,2,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.290976,0.290976,0.000192971,0,0
8,4,4,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.364861,0.364861,0.000228091,0,0
2,1,2,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.304785,0.304785,0.000201331,0,0
8,8,2,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.32507,0.32507,0.000210311,0,0
1,2,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.325236,0.325236,0.000198872,0,0
1,1,2,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.311767,0.311767,0.000217912,0,0
4,1,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.259361,0.259361,0.000220841,0,0
1,2,10,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.319701,0.319701,0.000242782,0,0
1,4,4,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.464056,0.464056,0.000198131,0,0
2,1,10,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.282234,0.282234,0.000196321,0,0
4,8,2,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.244956,0.244956,0.000191381,0,0
8,2,2,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.38344,0.38344,0.000183381,0,0
4,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.276398,0.276398,0.000186001,0,0
4,8,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.276255,0.276255,0.000186981,0,0
8,4,2,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.331333,0.331333,0.000188571,0,0
2,2,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.232726,0.232726,0.000247152,0,0
2,4,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.217854,0.217854,0.000184531,0,0
8,2,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.328281,0.328281,0.000176051,0,0
2,8,2,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.218731,0.218731,0.000184271,0,0
4,8,4,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.265793,0.265793,0.000159741,0,0
8,1,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.354479,0.354479,0.000211741,0,0
8,1,4,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.379057,0.379057,0.000198191,0,0
8,2,1,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.322261,0.322261,0.000237022,0,0
4,1,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.269229,0.269229,0.000192751,0,0
8,1,1,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.395448,0.395448,0.000193211,0,0
4,2,4,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.304269,0.304269,0.000155721,0,0
1,4,1,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.504443,0.504443,0.000149771,0,0
4,8,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.245678,0.245678,0.000199331,0,0
2,1,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.239278,0.239278,0.000194271,0,0
4,4,4,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.264935,0.264935,0.000212731,0,0
8,1,4,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.409812,0.409812,0.000222712,0,0
4,8,10,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.250653,0.250653,0.000193691,0,0
2,4,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.213567,0.213567,0.000146031,0,0
1,4,10,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.292808,0.292808,0.000213471,0,0
4,2,2,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.298916,0.298916,0.000181501,0,0
8,4,4,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.334699,0.334699,0.000198291,0,0
8,8,4,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.329848,0.329848,0.000195091,0,0
8,1,1,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.336953,0.336953,0.000199541,0,0
2,2,4,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.278224,0.278224,0.000178631,0,0
8,4,10,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.340553,0.340553,0.000158721,0,0
4,2,4,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.292488,0.292488,0.000359102,0,0
8,4,10,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.366608,0.366608,0.000198391,0,0
1,1,1,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.287121,0.287121,0.000233472,0,0
8,8,10,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.352716,0.352716,0.000195911,0,0
4,8,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.258586,0.258586,0.000209011,0,0
1,4,10,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.313099,0.313099,0.000198151,0,0
8,8,10,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.335999,0.335999,0.000192591,0,0
2,4,4,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.27214,0.27214,0.000186671,0,0
1,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.222264,0.222264,0.000186251,0,0
4,1,2,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.300992,0.300992,0.000202261,0,0
