KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,1,10,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.129918,0.129918,0.000118031,0,0
4,1,10,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.130141,0.130141,0.000301692,0,0
8,2,10,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.100794,0.100794,0.000192462,0,0
8,1,4,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.130047,0.130047,0.000193852,0,0
8,1,10,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.130662,0.130662,0.000201862,0,0
8,1,10,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.136599,0.136599,0.000212862,0,0
8,1,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0793794,0.0793794,0.000190302,0,0
8,1,10,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.129386,0.129386,0.000199552,0,0
4,1,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0760889,0.0760889,0.000153261,0,0
8,2,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0654566,0.0654566,0.000197671,0,0
8,1,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.080313,0.080313,0.000194332,0,0
8,1,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0793991,0.0793991,0.000187401,0,0
8,1,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0860045,0.0860045,0.000196571,0,0
8,1,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0851096,0.0851096,0.000200192,0,0
4,2,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0682668,0.0682668,0.000193642,0,0
8,4,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0584843,0.0584843,0.000193832,0,0
8,2,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0658272,0.0658272,0.000192632,0,0
8,2,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0650958,0.0650958,0.000196472,0,0
8,2,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0716965,0.0716965,0.000194911,0,0
8,2,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0702826,0.0702826,0.000189252,0,0
4,4,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0629926,0.0629926,0.000191082,0,0
8,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0552872,0.0552872,0.000195642,0,0
8,4,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0592793,0.0592793,0.000198892,0,0
8,4,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0582808,0.0582808,0.000191492,0,0
8,4,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0648948,0.0648948,0.000202322,0,0
8,4,10,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0878997,0.0878997,0.000204282,0,0
8,4,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0628642,0.0628642,0.000211001,0,0
4,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0602813,0.0602813,0.000185771,0,0
8,8,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0551041,0.0551041,0.000193161,0,0
8,8,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0547023,0.0547023,0.000202681,0,0
8,8,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0618307,0.0618307,0.000196531,0,0
8,8,10,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0813327,0.0813327,0.000152781,0,0
8,8,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0593611,0.0593611,0.000192962,0,0
4,8,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0606165,0.0606165,0.000188652,0,0
8,8,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0558686,0.0558686,0.000203862,0,0
8,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0550948,0.0550948,0.000189331,0,0
8,8,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0608482,0.0608482,0.000202062,0,0
8,8,10,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.081487,0.081487,0.000186562,0,0
8,8,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0557753,0.0557753,0.000199272,0,0
