KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,2,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.234606,0.234606,0.000175241,0,0
8,2,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.330105,0.330105,0.000193251,0,0
8,2,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.231618,0.231618,0.000182551,0,0
8,2,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.231238,0.231238,0.000191111,0,0
8,2,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.210325,0.210325,0.000189421,0,0
8,2,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.230525,0.230525,0.000148661,0,0
8,1,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.216292,0.216292,0.000186561,0,0
8,4,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.265816,0.265816,0.000186582,0,0
8,8,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.420031,0.420031,0.000196322,0,0
1,2,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.274732,0.274732,0.000197932,0,0
2,2,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.224974,0.224974,0.000225642,0,0
4,2,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.217342,0.217342,0.000191952,0,0
8,2,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.219625,0.219625,0.000190212,0,0
8,2,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.224007,0.224007,0.000189382,0,0
8,2,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.216761,0.216761,0.000193982,0,0
8,2,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.216132,0.216132,0.000201622,0,0
8,2,1,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.300677,0.300677,0.000183482,0,0
