KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,4,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.229381,0.229381,0.000117481,0,0
8,4,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.227514,0.227514,0.000129351,0,0
8,4,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.23169,0.23169,0.000164642,0,0
8,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.220824,0.220824,0.000161802,0,0
8,4,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.343137,0.343137,0.000180931,0,0
8,4,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.222038,0.222038,0.000161662,0,0
8,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.222384,0.222384,0.000164651,0,0
1,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.202327,0.202327,0.000161852,0,0
2,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.17576,0.17576,0.000166521,0,0
4,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.165249,0.165249,0.000166142,0,0
4,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.193748,0.193748,0.000161751,0,0
4,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.17568,0.17568,0.000165101,0,0
4,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.159973,0.159973,0.000168872,0,0
4,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.161046,0.161046,0.000164421,0,0
4,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.160602,0.160602,0.000165791,0,0
4,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.158998,0.158998,0.000190901,0,0
4,8,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.16117,0.16117,0.000166301,0,0
4,8,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.172664,0.172664,0.000218562,0,0
4,8,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.166904,0.166904,0.000128271,0,0
4,8,10,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.219038,0.219038,0.000127891,0,0
4,8,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.163178,0.163178,0.000167491,0,0
4,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.161055,0.161055,0.000167842,0,0
1,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.200484,0.200484,0.000166031,0,0
2,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.172053,0.172053,0.000168801,0,0
8,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.221088,0.221088,0.000168201,0,0
4,1,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.192814,0.192814,0.000165782,0,0
4,2,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.174055,0.174055,0.000182631,0,0
4,4,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.164418,0.164418,0.000167211,0,0
