KERNEL_DATA_BLOCK_SIZE, KERNEL_GRID_SPLIT, KERNEL_MAX_DIM_UNROLL, KERNEL_PREFETCH_SIZE, KERNEL_STORE_DATA, KERNEL_TRANSFER_WHOLE_DATASET, KERNEL_USE_LOCAL_MEMORY, LOCAL_SIZE, OPTIMIZATION_FLAGS, VERBOSE, duration
8, 8, 2, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0694795
1, 8, 2, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.146613
8, 1, 2, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0836803
8, 8, 1, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0705297
8, 8, 2, 16, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0761204
8, 8, 2, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0665962
8, 8, 2, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0662934
8, 8, 2, 32, array, true, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.148909
8, 8, 2, 16, array, true, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.069596
8, 8, 2, 32, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 0.0675317
