KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.177956,0.177956,0.000157655,0,0
2,1,2,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.168405,0.168405,8.6738e-05,0,0
1,8,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.111898,0.111898,8.5485e-05,0,0
4,2,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.0768108,0.0768108,0.000104568,0,0
8,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.0684338,0.0684338,0.000105165,0,0
1,1,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.0837508,0.0837508,9.0802e-05,0,0
2,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.176908,0.176908,0.000107796,0,0
4,2,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.139033,0.139033,6.5338e-05,0,0
1,2,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.13141,0.13141,0.00010184,0,0
8,8,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.0746286,0.0746286,9.4296e-05,0,0
1,2,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.175003,0.175003,0.000116922,0,0
8,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.171741,0.171741,0.000105215,0,0
4,8,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.0758858,0.0758858,0.000103954,0,0
1,1,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.0880988,0.0880988,0.000104109,0,0
4,2,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.138147,0.138147,9.3916e-05,0,0
