KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,2,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.182057,0.182057,0.000164987,0,0
1,2,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.233551,0.233551,0.000110321,0,0
2,2,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.203711,0.203711,9.2847e-05,0,0
8,2,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.149196,0.149196,9.8905e-05,0,0
8,1,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.15094,0.15094,8.9052e-05,0,0
8,4,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.14777,0.14777,9.3159e-05,0,0
8,8,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.138054,0.138054,9.7293e-05,0,0
8,8,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.138494,0.138494,9.3142e-05,0,0
8,8,4,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.139267,0.139267,9.6618e-05,0,0
8,8,10,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.138634,0.138634,0.000194058,0,0
8,8,2,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.13881,0.13881,9.2148e-05,0,0
8,8,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.138789,0.138789,9.5327e-05,0,0
8,8,2,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.138679,0.138679,0.000105032,0,0
8,8,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.140433,0.140433,8.8897e-05,0,0
8,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.062127,0.062127,9.8175e-05,0,0
8,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0618796,0.0618796,9.2329e-05,0,0
8,8,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0633532,0.0633532,9.2901e-05,0,0
1,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.136513,0.136513,0.000109966,0,0
2,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.105812,0.105812,9.5101e-05,0,0
4,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0697273,0.0697273,0.000113132,0,0
8,1,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0794781,0.0794781,9.394e-05,0,0
8,2,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.070109,0.070109,9.3451e-05,0,0
8,4,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0629937,0.0629937,0.000115543,0,0
8,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0627034,0.0627034,9.2693e-05,0,0
8,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0624166,0.0624166,9.4068e-05,0,0
8,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0625985,0.0625985,9.3626e-05,0,0
8,8,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0637342,0.0637342,9.5362e-05,0,0
8,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0631684,0.0631684,9.3029e-05,0,0
8,8,2,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0656786,0.0656786,6.5352e-05,0,0
8,8,2,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.13928,0.13928,9.1135e-05,0,0
