KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,1,4,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.230602,0.230602,0.000139821,0,0
2,8,1,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.178262,0.178262,6.9962e-05,0,0
1,1,10,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.323841,0.323841,7.0909e-05,0,0
2,8,4,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.392843,0.392843,7.3138e-05,0,0
8,4,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0921518,0.0921518,0.000118352,0,0
1,2,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.309773,0.309773,7.0154e-05,0,0
8,8,1,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.120173,0.120173,7.9375e-05,0,0
1,8,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.452895,0.452895,7.3562e-05,0,0
8,2,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.124971,0.124971,7.4142e-05,0,0
4,1,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.237473,0.237473,7.1993e-05,0,0
8,8,4,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.166337,0.166337,7.8838e-05,0,0
8,4,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.108897,0.108897,7.3269e-05,0,0
2,2,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.307662,0.307662,4.811e-05,0,0
1,8,1,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.205081,0.205081,7.6493e-05,0,0
4,4,10,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.143659,0.143659,7.5252e-05,0,0
4,2,2,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.23817,0.23817,7.214e-05,0,0
8,8,4,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0904088,0.0904088,7.8855e-05,0,0
1,2,2,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.164837,0.164837,7.5274e-05,0,0
8,2,2,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.095539,0.095539,8.2392e-05,0,0
2,2,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.12497,0.12497,7.8338e-05,0,0
8,4,1,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0904942,0.0904942,7.8985e-05,0,0
4,2,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.203316,0.203316,7.9797e-05,0,0
2,8,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.152492,0.152492,7.4462e-05,0,0
8,2,1,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.102312,0.102312,7.6384e-05,0,0
8,4,2,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0891436,0.0891436,7.6536e-05,0,0
4,2,4,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.258769,0.258769,7.4638e-05,0,0
2,2,1,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.139585,0.139585,7.722e-05,0,0
4,4,4,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.104152,0.104152,7.5054e-05,0,0
2,1,4,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.175451,0.175451,7.2732e-05,0,0
8,8,10,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.268249,0.268249,0.000148043,0,0
1,4,1,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.453094,0.453094,7.9711e-05,0,0
1,1,2,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.384507,0.384507,5.0642e-05,0,0
2,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.157106,0.157106,7.3672e-05,0,0
4,4,1,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0979584,0.0979584,7.6802e-05,0,0
1,2,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.155533,0.155533,7.635e-05,0,0
2,4,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.129747,0.129747,7.5302e-05,0,0
4,1,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0949233,0.0949233,7.7489e-05,0,0
1,4,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.420122,0.420122,8.1147e-05,0,0
2,2,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.162325,0.162325,8.076e-05,0,0
