KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_MAX_DIM_UNROLL, KERNEL_TRANS_PREFETCH_SIZE, KERNEL_TRANS_STORE_DATA, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_TRANS_USE_LOCAL_MEMORY, OPTIMIZATION_FLAGS, TRANS_LOCAL_SIZE, VERBOSE, duration
8, 1, 10, 32, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.427392
1, 1, 10, 32, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.520461
8, 1, 10, 32, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.42723
8, 1, 1, 32, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.499961
8, 1, 10, 16, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.472574
8, 1, 10, 32, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.427205
8, 1, 10, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.422778
8, 1, 10, 32, array, false, false, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 1.01545
8, 1, 10, 32, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.427032
8, 1, 10, 16, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.472211
