KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.763525,0.763525,0.000130405,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.379609,0.379609,0.000257947,0,0
1,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.368031,0.368031,0.000250736,0,0
1,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.390267,0.390267,0.000186395,0,0
1,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.374505,0.374505,0.000228756,0,0
1,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.36776,0.36776,0.000246073,0,0
1,2,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.395222,0.395222,0.00025609,0,0
1,4,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.543594,0.543594,0.000171607,0,0
1,8,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.843578,0.843578,0.000275872,0,0
2,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.331559,0.331559,0.00020458,0,0
4,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.312536,0.312536,0.000276403,0,0
8,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.303291,0.303291,0.000279255,0,0
8,1,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.309918,0.309918,0.000270923,0,0
8,1,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.311137,0.311137,0.000287853,0,0
8,1,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.299985,0.299985,0.000270652,0,0
8,1,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.299398,0.299398,0.000277412,0,0
8,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.58996,0.58996,0.000272985,0,0
8,1,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.295407,0.295407,0.000254948,0,0
8,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.32881,0.32881,0.000263406,0,0
8,1,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.331702,0.331702,0.000248748,0,0
8,1,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.306458,0.306458,0.000248043,0,0
8,1,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.300096,0.300096,0.000247334,0,0
8,2,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.308177,0.308177,0.000251635,0,0
8,4,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.348936,0.348936,0.000249912,0,0
8,8,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.56071,0.56071,0.000247747,0,0
1,1,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.379548,0.379548,0.000254399,0,0
2,1,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.326505,0.326505,0.000267773,0,0
4,1,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.306252,0.306252,0.000249916,0,0
8,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.296215,0.296215,0.000155835,0,0
8,1,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.30711,0.30711,0.000300484,0,0
8,1,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.307285,0.307285,0.000246358,0,0
8,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.294408,0.294408,0.000258097,0,0
8,1,10,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.587129,0.587129,0.00024179,0,0
8,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.328571,0.328571,0.000256423,0,0
8,1,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.33081,0.33081,0.000314064,0,0
8,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.304869,0.304869,0.000275184,0,0
8,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.300753,0.300753,0.000260715,0,0
8,2,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.307368,0.307368,0.000252842,0,0
8,4,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.346392,0.346392,0.000249111,0,0
8,8,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.56423,0.56423,0.000250795,0,0
1,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.371715,0.371715,0.000268865,0,0
2,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.327959,0.327959,0.000254188,0,0
4,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.304995,0.304995,0.000264494,0,0
8,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.296549,0.296549,0.000254049,0,0
8,1,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.305476,0.305476,0.000250814,0,0
8,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.308366,0.308366,0.000258211,0,0
