KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,4,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.912505,0.912505,0.00013322,0,0
1,2,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.84365,0.84365,0.000267185,0,0
2,4,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.33199,1.33199,0.000249565,0,0
1,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.2281,1.2281,0.00025523,0,0
4,4,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.626761,0.626761,0.000309454,0,0
1,2,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.831902,0.831902,0.000262989,0,0
4,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.55225,0.55225,0.000298652,0,0
1,4,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.16305,1.16305,0.000316012,0,0
8,8,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.53684,1.53684,0.000317238,0,0
8,2,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.487015,0.487015,0.000308558,0,0
8,1,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.02713,1.02713,0.000248355,0,0
4,8,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.886982,0.886982,0.000320639,0,0
1,8,10,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.18659,1.18659,0.000220979,0,0
8,2,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.67553,0.67553,0.000244002,0,0
4,8,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.921048,0.921048,0.000251708,0,0
1,2,1,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.85238,0.85238,0.000248197,0,0
4,4,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.609398,0.609398,0.000253673,0,0
2,1,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.11966,1.11966,0.000263268,0,0
2,4,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.609645,0.609645,0.000272198,0,0
8,8,10,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.885454,0.885454,0.000272938,0,0
1,4,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.00959,2.00959,0.000272816,0,0
2,4,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.641398,0.641398,0.000246644,0,0
1,8,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.23211,1.23211,0.000269197,0,0
1,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.898418,0.898418,0.000267319,0,0
4,1,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.03787,1.03787,0.000273006,0,0
1,8,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.83205,0.83205,0.000245593,0,0
2,4,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.59461,1.59461,0.000247532,0,0
