KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,4,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.637353,0.637353,0.000140059,0,0
8,1,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.587247,0.587247,0.000333461,0,0
4,8,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.563975,0.563975,0.000246,0,0
1,2,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.597225,0.597225,0.000243336,0,0
1,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.771471,0.771471,0.000256896,0,0
4,8,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.480564,0.480564,0.000251174,0,0
2,1,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.667314,0.667314,0.000253765,0,0
8,4,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.358028,0.358028,0.000250877,0,0
1,1,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.369108,0.369108,0.00015829,0,0
4,4,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.449725,0.449725,0.000249721,0,0
2,2,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.357113,0.357113,0.000259172,0,0
1,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.370951,0.370951,0.000229625,0,0
1,8,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.716014,0.716014,0.000261231,0,0
4,1,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.326322,0.326322,0.00025139,0,0
2,8,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.705832,0.705832,0.00012603,0,0
4,8,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.559021,0.559021,0.000245142,0,0
8,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.337008,0.337008,0.000260043,0,0
2,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.356566,0.356566,0.000316507,0,0
4,4,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.44865,0.44865,0.000247194,0,0
8,8,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.487264,0.487264,0.000275406,0,0
8,2,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.454763,0.454763,0.000239657,0,0
1,8,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.817897,0.817897,0.000203378,0,0
1,8,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.674765,0.674765,0.000307745,0,0
4,8,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.492798,0.492798,0.000323004,0,0
2,1,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.665082,0.665082,0.000277602,0,0
4,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.617513,0.617513,0.000301728,0,0
8,1,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.30299,0.30299,0.000253374,0,0
8,1,10,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.590939,0.590939,0.000255739,0,0
2,1,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.666683,0.666683,0.000259122,0,0
1,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.741658,0.741658,0.000243276,0,0
4,2,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.481099,0.481099,0.000250041,0,0
2,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.339168,0.339168,0.000254263,0,0
4,8,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.562527,0.562527,0.000261398,0,0
1,1,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.376103,0.376103,0.000254175,0,0
4,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.353162,0.353162,0.000221701,0,0
8,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.297461,0.297461,0.000182946,0,0
4,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.314268,0.314268,0.000231621,0,0
1,1,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.760403,0.760403,0.000252859,0,0
2,8,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.675592,0.675592,0.000246083,0,0
1,8,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.842065,0.842065,0.000270467,0,0
1,8,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.709025,0.709025,0.000306602,0,0
4,8,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.570268,0.570268,0.000243728,0,0
8,2,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.450689,0.450689,0.000280169,0,0
8,1,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.312162,0.312162,0.000270478,0,0
2,2,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.548267,0.548267,0.000271995,0,0
8,8,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.567567,0.567567,0.000274485,0,0
4,8,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.482671,0.482671,0.000287487,0,0
8,8,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.493213,0.493213,0.000274218,0,0
1,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.391172,0.391172,0.000230955,0,0
4,8,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.574039,0.574039,0.000249151,0,0
1,2,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.46629,0.46629,0.000253455,0,0
8,2,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.316308,0.316308,0.00025925,0,0
