KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,8,2,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.575022,0.575022,0.000106992,0,0
2,8,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.568952,0.568952,0.000226112,0,0
2,8,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.455224,0.455224,0.000247693,0,0
2,8,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.56924,0.56924,0.000263508,0,0
2,4,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.382311,0.382311,0.000256054,0,0
4,8,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.428296,0.428296,0.000260485,0,0
1,8,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.569469,0.569469,0.000249038,0,0
2,8,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.569306,0.569306,0.000263033,0,0
2,8,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.570669,0.570669,0.000253973,0,0
2,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.569176,0.569176,0.000257925,0,0
2,8,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.572306,0.572306,0.000264459,0,0
2,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.272022,0.272022,0.00025483,0,0
2,4,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.381396,0.381396,0.000255594,0,0
2,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.469168,0.469168,0.000253785,0,0
4,4,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.354604,0.354604,0.000307768,0,0
1,4,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.540158,0.540158,0.000258346,0,0
2,4,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.381968,0.381968,0.000280187,0,0
2,4,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.381054,0.381054,0.00027503,0,0
2,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.382209,0.382209,0.000255394,0,0
2,4,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.385272,0.385272,0.000249295,0,0
2,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.279692,0.279692,0.000307339,0,0
2,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.251577,0.251577,0.000253844,0,0
4,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.250589,0.250589,0.000258591,0,0
1,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.539239,0.539239,0.00026376,0,0
2,4,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.272981,0.272981,0.000254203,0,0
2,4,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.270725,0.270725,0.000266002,0,0
2,4,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.257876,0.257876,0.000235251,0,0
2,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.276037,0.276037,0.00025778,0,0
4,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.255876,0.255876,0.000253364,0,0
4,8,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.342777,0.342777,0.000309218,0,0
4,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.223041,0.223041,0.000254558,0,0
8,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.221419,0.221419,0.000259408,0,0
4,4,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.250788,0.250788,0.000286485,0,0
4,4,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.24881,0.24881,0.000252705,0,0
4,4,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.242978,0.242978,0.000231166,0,0
4,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.253314,0.253314,0.000257465,0,0
