KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,8,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.510766,0.510766,0.000126783,0,0
1,8,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.628517,0.628517,0.000156591,0,0
2,8,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.486118,0.486118,0.000157613,0,0
8,8,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.579861,0.579861,0.00015125,0,0
2,1,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.530745,0.530745,0.000167961,0,0
2,2,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.503813,0.503813,0.000159921,0,0
2,4,1,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.493166,0.493166,0.000240324,0,0
2,8,2,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.485476,0.485476,0.000276985,0,0
2,8,4,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.486374,0.486374,0.000247265,0,0
2,8,10,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.485896,0.485896,0.000163812,0,0
2,8,2,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.477353,0.477353,0.000155566,0,0
2,8,2,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.476612,0.476612,0.000253856,0,0
2,8,2,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.648393,0.648393,0.000250069,0,0
2,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.467875,0.467875,0.000162963,0,0
2,8,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.868049,0.868049,0.000251852,0,0
2,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.56428,0.56428,0.00036379,0,0
2,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.463106,0.463106,0.000246465,0,0
1,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.598625,0.598625,0.000318479,0,0
4,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.401029,0.401029,0.000280846,0,0
8,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.549055,0.549055,0.000320404,0,0
4,1,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.461975,0.461975,0.00024832,0,0
4,2,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.427587,0.427587,0.000309301,0,0
4,4,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.41006,0.41006,0.000300161,0,0
