KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,8,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.470301,0.470301,0.000127597,0,0
1,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.605846,0.605846,0.000266328,0,0
4,2,2,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.772689,0.772689,0.000234383,0,0
1,2,4,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.618372,0.618372,0.000246313,0,0
8,8,10,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03523,1.03523,0.000171848,0,0
1,8,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.606754,0.606754,0.000270477,0,0
8,8,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.566766,0.566766,0.000268321,0,0
1,8,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.5654,1.5654,0.000248627,0,0
8,2,10,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.634037,0.634037,0.000258825,0,0
1,4,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.626734,0.626734,0.00036426,0,0
1,1,2,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.67987,1.67987,0.000253875,0,0
1,1,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.99059,0.99059,0.000266786,0,0
2,2,2,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.947035,0.947035,0.000158361,0,0
4,1,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.461433,0.461433,0.000290656,0,0
4,2,4,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.494461,0.494461,0.000249238,0,0
2,1,2,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.992038,0.992038,0.0002465,0,0
1,2,4,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.629184,0.629184,0.000276182,0,0
8,2,4,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.593858,0.593858,0.000290024,0,0
8,4,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.579877,0.579877,0.000271318,0,0
8,2,4,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.12311,1.12311,0.000272585,0,0
4,8,4,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.720428,0.720428,0.000251613,0,0
4,2,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.773524,0.773524,0.000245191,0,0
1,2,4,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.647649,0.647649,0.000264197,0,0
8,8,1,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.04466,1.04466,0.000158774,0,0
8,2,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.12365,1.12365,0.000160566,0,0
4,4,10,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.724451,0.724451,0.000248831,0,0
2,1,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.511662,0.511662,0.000280272,0,0
1,2,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.60385,1.60385,0.000257664,0,0
1,2,4,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.640354,0.640354,0.000327732,0,0
8,4,10,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06109,1.06109,0.000245467,0,0
4,2,4,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.772714,0.772714,0.000253308,0,0
2,2,10,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.936091,0.936091,0.000156263,0,0
