KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,2,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.218199,0.218199,0.000135109,0,0
4,1,10,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.249689,0.249689,0.000254898,0,0
1,4,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.725672,0.725672,0.000260374,0,0
2,4,2,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.447143,0.447143,0.000254571,0,0
8,2,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.448216,0.448216,0.000262679,0,0
2,1,4,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.532782,0.532782,0.000256291,0,0
2,1,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.266031,0.266031,0.000256941,0,0
1,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.32638,0.32638,0.000258414,0,0
4,2,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.220658,0.220658,0.000302081,0,0
1,1,4,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.36269,0.36269,0.000311811,0,0
1,4,4,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.707469,0.707469,0.000256884,0,0
4,4,2,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.354985,0.354985,0.00019163,0,0
4,8,10,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.21316,0.21316,0.000255482,0,0
4,1,4,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.416203,0.416203,0.000265171,0,0
2,1,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.548438,0.548438,0.000250961,0,0
1,2,1,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.921562,0.921562,0.000275677,0,0
4,8,2,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.335283,0.335283,0.000272414,0,0
8,1,4,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.369137,0.369137,0.000283529,0,0
1,8,1,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.318241,0.318241,0.000204511,0,0
4,8,2,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.340459,0.340459,0.00027871,0,0
8,4,2,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.192973,0.192973,0.000280392,0,0
2,2,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.253059,0.253059,0.000223458,0,0
4,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.475815,0.475815,0.000296044,0,0
4,2,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.216891,0.216891,0.000249416,0,0
1,2,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.329581,0.329581,0.000259855,0,0
1,1,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03221,1.03221,0.000255365,0,0
8,4,4,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.194267,0.194267,0.000258752,0,0
2,1,2,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.266994,0.266994,0.000256674,0,0
1,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.306132,0.306132,0.000254328,0,0
1,8,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.331385,0.331385,0.000248677,0,0
4,8,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.201346,0.201346,0.000318982,0,0
8,2,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.251804,0.251804,0.000256509,0,0
2,2,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.240817,0.240817,0.000254305,0,0
1,8,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.332812,0.332812,0.000258248,0,0
4,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.200829,0.200829,0.000257026,0,0
2,4,1,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.418006,0.418006,0.000247145,0,0
4,2,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.219928,0.219928,0.000245457,0,0
1,2,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.923661,0.923661,0.000256225,0,0
2,4,1,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.241432,0.241432,0.000256849,0,0
2,8,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.39733,0.39733,0.000246748,0,0
4,2,4,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.376836,0.376836,0.00031498,0,0
4,2,10,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.420773,0.420773,0.000258288,0,0
4,4,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.207591,0.207591,0.000249326,0,0
8,8,4,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.299288,0.299288,0.000255603,0,0
2,4,4,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.234229,0.234229,0.000254908,0,0
2,1,10,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.550251,0.550251,0.000251357,0,0
