KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,4,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06133,1.06133,0.000161084,0,0
1,4,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.57851,1.57851,0.000221949,0,0
2,4,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.909705,0.909705,0.00024501,0,0
4,4,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.723915,0.723915,0.000223611,0,0
4,1,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.845529,0.845529,0.000221881,0,0
4,2,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.762959,0.762959,0.000224721,0,0
4,8,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.70393,0.70393,0.000220953,0,0
4,8,2,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.705073,0.705073,0.000223209,0,0
4,8,4,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.705304,0.705304,0.000230829,0,0
4,8,10,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.704168,0.704168,0.000222081,0,0
4,8,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.704073,0.704073,0.000224269,0,0
4,8,1,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.704317,0.704317,0.000223395,0,0
4,8,1,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.704681,0.704681,0.000226398,0,0
4,8,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.712966,0.712966,0.000220902,0,0
4,8,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.496148,0.496148,0.000139424,0,0
4,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.463194,0.463194,0.000221848,0,0
4,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.465033,0.465033,0.000223837,0,0
1,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.605085,0.605085,0.00022159,0,0
2,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.463013,0.463013,0.00022395,0,0
8,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.539031,0.539031,0.000220556,0,0
2,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.503769,0.503769,0.000220364,0,0
2,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.479019,0.479019,0.000221765,0,0
2,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.468424,0.468424,0.000225209,0,0
2,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.463264,0.463264,0.000222726,0,0
2,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.463224,0.463224,0.000221945,0,0
2,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.463233,0.463233,0.000223874,0,0
2,8,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.474254,0.474254,0.000224519,0,0
2,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.564345,0.564345,0.000221444,0,0
2,8,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.4714,0.4714,0.000194918,0,0
2,8,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.854759,0.854759,0.000139372,0,0
2,8,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.467882,0.467882,0.000221535,0,0
2,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.464001,0.464001,0.000226681,0,0
