KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,2,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.203622,0.203622,0.000118602,0,0
1,2,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.340109,0.340109,0.000222057,0,0
2,2,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.250117,0.250117,0.000221989,0,0
4,2,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.219143,0.219143,0.000227761,0,0
8,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.216917,0.216917,0.000219599,0,0
8,4,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.186822,0.186822,0.000224175,0,0
8,8,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.177548,0.177548,0.00024652,0,0
8,8,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.220017,0.220017,0.000221042,0,0
8,8,4,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.177546,0.177546,0.000219874,0,0
8,8,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.220412,0.220412,0.000226746,0,0
8,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.175419,0.175419,0.00022176,0,0
8,8,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.174609,0.174609,0.000221709,0,0
8,8,4,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.180762,0.180762,0.000194569,0,0
8,8,4,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.298704,0.298704,0.000219893,0,0
8,8,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.181545,0.181545,0.000223369,0,0
8,8,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.175845,0.175845,0.00022487,0,0
1,8,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.391714,0.391714,0.000219875,0,0
2,8,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.249544,0.249544,0.000227472,0,0
4,8,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.198924,0.198924,0.000223221,0,0
8,1,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.213197,0.213197,0.000227786,0,0
8,2,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.198663,0.198663,0.000231882,0,0
8,4,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.18246,0.18246,0.000222189,0,0
8,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.212814,0.212814,0.000224743,0,0
8,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.173952,0.173952,0.0002258,0,0
8,8,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.212831,0.212831,0.000163701,0,0
8,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.175281,0.175281,0.00022368,0,0
8,8,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.180624,0.180624,0.000193714,0,0
8,8,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.298078,0.298078,0.000245634,0,0
8,8,2,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.181782,0.181782,0.000223943,0,0
8,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.176113,0.176113,0.000223286,0,0
1,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.391502,0.391502,0.00022143,0,0
2,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.249384,0.249384,0.000226776,0,0
4,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.199023,0.199023,0.000302387,0,0
8,1,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.212862,0.212862,0.000225071,0,0
8,2,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.198737,0.198737,0.000166586,0,0
8,4,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.182227,0.182227,0.000320292,0,0
