KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_MAX_DIM_UNROLL, KERNEL_TRANS_PREFETCH_SIZE, KERNEL_TRANS_STORE_DATA, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_TRANS_USE_LOCAL_MEMORY, OPTIMIZATION_FLAGS, TRANS_LOCAL_SIZE, VERBOSE, duration
8, 2, 4, 128, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
1, 2, 4, 128, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
8, 1, 4, 128, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
8, 2, 1, 128, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
8, 2, 4, 16, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
8, 2, 4, 128, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
8, 2, 4, 128, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
8, 2, 4, 128, array, false, false, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
8, 2, 4, 128, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, -1
8, 2, 4, 16, array, false, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, -1
