KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,4,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.87661,6.87661,0.00018294,0,0
4,4,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.36854,6.36854,0.000252733,0,0
1,4,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.10849,7.10849,0.000239151,0,0
8,4,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.43039,6.43039,0.000176941,0,0
8,2,1,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.80766,5.80766,0.000147053,0,0
2,1,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.12323,6.12323,9.9008e-05,0,0
2,2,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.87313,5.87313,6.834e-05,0,0
2,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.87771,5.87771,9.6874e-05,0,0
8,1,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.01179,6.01179,9.3931e-05,0,0
4,1,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.99241,5.99241,0.000163042,0,0
2,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,6.30495,6.30495,8.993e-05,0,0
2,8,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,7.58853,7.58853,9.1103e-05,0,0
1,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.96558,5.96558,0.00028608,0,0
2,2,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.83704,5.83704,0.000201862,0,0
4,4,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.50958,6.50958,8.8328e-05,0,0
4,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.87166,5.87166,9.0601e-05,0,0
8,8,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.85512,6.85512,9.4368e-05,0,0
4,8,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.66917,7.66917,0.000206513,0,0
8,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,6.13426,6.13426,0.00025555,0,0
4,1,1,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,6.13669,6.13669,0.000101341,0,0
1,1,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.95131,5.95131,8.9898e-05,0,0
1,8,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,7.05687,7.05687,0.000202923,0,0
