KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.55566,4.55566,0.000186179,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.81373,5.81373,0.000119577,0,0
1,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.3955,4.3955,0.000149597,0,0
1,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.18376,4.18376,0.000157861,0,0
1,1,1,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.20991,4.20991,6.0239e-05,0,0
1,1,1,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.45015,4.45015,8.9414e-05,0,0
2,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.29877,3.29877,0.000216958,0,0
4,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.35582,3.35582,9.0085e-05,0,0
8,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.22264,3.22264,9.2936e-05,0,0
8,2,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.13914,3.13914,0.000160282,0,0
8,4,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.1144,3.1144,8.5652e-05,0,0
8,8,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.08235,3.08235,8.996e-05,0,0
8,8,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.03809,3.03809,8.6786e-05,0,0
8,8,4,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.06622,3.06622,9.441e-05,0,0
8,8,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.09956,3.09956,0.000100297,0,0
8,8,2,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.04233,3.04233,9.0783e-05,0,0
8,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.89998,3.89998,0.000118603,0,0
8,8,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.05325,3.05325,9.6545e-05,0,0
8,8,2,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.04446,3.04446,9.6859e-05,0,0
8,8,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.05914,3.05914,5.9215e-05,0,0
8,8,2,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.0905,3.0905,9.6819e-05,0,0
1,8,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.16441,4.16441,8.9514e-05,0,0
2,8,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.23808,3.23808,9.8168e-05,0,0
4,8,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.17805,3.17805,0.000116047,0,0
8,1,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.17365,3.17365,8.7797e-05,0,0
8,2,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.12735,3.12735,0.000105577,0,0
8,4,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.06252,3.06252,0.000163599,0,0
