KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,4,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.01188,4.01188,6.4843e-05,0,0
2,4,2,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.13302,3.13302,0.00013842,0,0
1,8,4,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.19463,4.19463,0.000147306,0,0
1,1,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.40734,4.40734,0.000147977,0,0
2,1,2,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.15229,3.15229,0.000185297,0,0
2,1,10,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.41354,3.41354,0.000149504,0,0
8,8,4,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.67463,2.67463,0.000164506,0,0
2,2,4,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.20662,3.20662,0.000229218,0,0
1,2,4,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.03778,4.03778,0.000105759,0,0
1,8,10,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.43381,4.43381,0.000142467,0,0
8,8,2,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.76375,2.76375,0.000156958,0,0
1,2,2,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.04147,4.04147,0.000288532,0,0
1,8,10,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.20008,4.20008,0.000259185,0,0
2,1,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.17989,3.17989,0.000107704,0,0
4,8,4,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.7354,2.7354,0.000141789,0,0
4,8,4,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.64785,2.64785,0.000178597,0,0
1,2,1,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.27781,4.27781,0.00021352,0,0
8,2,1,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.05664,3.05664,0.000325585,0,0
4,1,4,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.80904,2.80904,0.000202299,0,0
1,1,4,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.06113,4.06113,0.000134175,0,0
8,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.68037,2.68037,0.000188348,0,0
1,4,4,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.63385,4.63385,0.000192817,0,0
8,1,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.86975,2.86975,0.000234902,0,0
1,1,4,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.15377,4.15377,0.000130469,0,0
2,4,1,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.07676,3.07676,0.000300117,0,0
8,8,1,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.78728,2.78728,0.000251301,0,0
1,4,10,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.21986,4.21986,0.000240456,0,0
4,2,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.04312,3.04312,0.000241165,0,0
2,1,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.36137,3.36137,0.000102851,0,0
1,4,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.12006,4.12006,0.000181603,0,0
8,2,2,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.79396,2.79396,0.000170646,0,0
8,8,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.55958,2.55958,0.000164888,0,0
4,8,4,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.71493,2.71493,0.000136341,0,0
1,2,4,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.14386,4.14386,0.000188438,0,0
1,8,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.13037,4.13037,0.000166843,0,0
2,1,1,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.25696,3.25696,0.000250612,0,0
4,8,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.63516,2.63516,0.000112897,0,0
4,1,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.15837,3.15837,0.000162106,0,0
8,2,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.57305,2.57305,0.000208058,0,0
1,4,10,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.45493,4.45493,0.000118061,0,0
2,2,4,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.09222,3.09222,0.000252164,0,0
1,8,1,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.19678,4.19678,0.000195138,0,0
2,8,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.25774,3.25774,0.00018934,0,0
1,2,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.21619,4.21619,0.000225529,0,0
8,4,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.79287,2.79287,0.00015519,0,0
1,1,4,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.04516,4.04516,0.0001569,0,0
4,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.99246,2.99246,0.000148001,0,0
2,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.30147,3.30147,0.000141223,0,0
8,1,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.73419,2.73419,0.000205435,0,0
1,8,2,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.03194,4.03194,0.000158509,0,0
8,2,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.92614,2.92614,0.000193868,0,0
1,4,4,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.04492,4.04492,0.000100676,0,0
8,8,1,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.80835,2.80835,0.000130744,0,0
2,2,1,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.21909,3.21909,0.000125858,0,0
1,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.61731,4.61731,0.00012707,0,0
4,4,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.11631,3.11631,0.000186565,0,0
8,8,4,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.55846,2.55846,6.9088e-05,0,0
8,8,1,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.8453,2.8453,0.000164079,0,0
2,8,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.10892,3.10892,0.000239791,0,0
1,4,10,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.19368,4.19368,0.000228969,0,0
2,8,10,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.25235,3.25235,0.000147784,0,0
4,4,10,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.73205,2.73205,0.000101037,0,0
1,4,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.2934,4.2934,0.000190652,0,0
4,2,10,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.89548,2.89548,0.00011858,0,0
4,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.04553,3.04553,0.00015007,0,0
4,4,4,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.80138,2.80138,0.000109425,0,0
1,2,1,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.14538,4.14538,0.000119649,0,0
1,4,10,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.22141,4.22141,0.000163263,0,0
4,2,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.76924,2.76924,6.5208e-05,0,0
2,1,2,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.24159,3.24159,0.000116733,0,0
4,4,10,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.73794,2.73794,0.000168749,0,0
4,2,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.70508,2.70508,0.000123362,0,0
2,2,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.37258,3.37258,0.000125161,0,0
