KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.37852,4.37852,7.3145e-05,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.81877,5.81877,0.000119612,0,0
1,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.19573,4.19573,0.000133985,0,0
1,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.30432,4.30432,0.000155415,0,0
2,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.28963,3.28963,0.000121263,0,0
1,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.18357,4.18357,8.6342e-05,0,0
1,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.17617,4.17617,0.000157029,0,0
1,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.17569,4.17569,8.3915e-05,0,0
2,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.4122,4.4122,8.5564e-05,0,0
2,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.24314,3.24314,9.0129e-05,0,0
2,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.29445,3.29445,8.5939e-05,0,0
4,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.34773,3.34773,8.3781e-05,0,0
2,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.24636,3.24636,9.358e-05,0,0
2,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.25001,3.25001,8.8043e-05,0,0
2,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.31279,3.31279,0.000101925,0,0
2,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.43712,4.43712,0.000104991,0,0
2,1,1,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.24646,3.24646,9.0833e-05,0,0
2,1,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.33875,3.33875,8.6877e-05,0,0
4,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.2836,3.2836,8.7392e-05,0,0
2,2,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.24447,3.24447,8.7094e-05,0,0
2,1,2,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.36123,3.36123,8.6904e-05,0,0
2,1,1,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.28746,3.28746,0.000115059,0,0
