KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,1,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.79155,2.79155,0.000196492,0,0
1,1,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.33964,4.33964,0.000208849,0,0
2,1,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.29672,3.29672,0.000260084,0,0
4,1,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.96946,2.96946,0.000104762,0,0
8,2,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.8877,2.8877,0.000105202,0,0
8,4,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.63861,2.63861,0.000195101,0,0
8,8,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.57101,2.57101,0.000154724,0,0
8,8,1,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.84913,2.84913,0.000211903,0,0
8,8,2,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.74136,2.74136,0.000236889,0,0
8,8,4,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.67207,2.67207,0.000115846,0,0
8,8,10,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.57379,2.57379,0.000164935,0,0
8,8,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.55639,2.55639,0.000169735,0,0
8,8,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.53259,2.53259,0.00011241,0,0
8,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.54159,2.54159,0.000141862,0,0
8,8,10,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.78206,2.78206,0.000260754,0,0
8,8,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.51427,2.51427,5.4934e-05,0,0
1,8,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.25821,4.25821,0.000141269,0,0
2,8,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.1199,3.1199,0.000257334,0,0
