KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,1,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.768497,0.768497,0.00011481,0,0
1,8,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.03126,1.03126,0.000157255,0,0
2,2,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.838112,0.838112,0.000111035,0,0
2,8,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.878389,0.878389,0.000115299,0,0
8,4,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.773448,0.773448,0.000127574,0,0
4,2,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.13981,1.13981,9.7258e-05,0,0
1,2,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.859939,0.859939,0.000127066,0,0
8,2,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.842689,0.842689,0.000172537,0,0
1,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.839459,0.839459,0.000118803,0,0
2,2,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.11374,1.11374,8.1587e-05,0,0
2,1,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.792818,0.792818,0.000112381,0,0
8,1,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.778734,0.778734,0.000115173,0,0
1,1,2,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.50934,1.50934,0.000111607,0,0
2,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.797141,0.797141,0.000133842,0,0
2,8,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.788444,0.788444,0.000108001,0,0
8,8,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.88574,0.88574,0.000115315,0,0
1,2,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.883345,0.883345,0.000109917,0,0
8,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.872839,0.872839,0.000114735,0,0
1,8,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.841211,0.841211,7.3876e-05,0,0
8,2,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.11842,1.11842,0.000112368,0,0
4,1,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.803407,0.803407,0.000112832,0,0
2,4,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.794721,0.794721,0.000120219,0,0
4,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.790427,0.790427,8.1734e-05,0,0
1,1,1,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.50922,1.50922,0.00015314,0,0
1,8,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.00125,1.00125,0.000115363,0,0
2,2,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.826506,0.826506,0.000109275,0,0
1,2,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.18873,1.18873,0.000113661,0,0
8,4,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.914906,0.914906,0.000115305,0,0
4,1,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.820545,0.820545,0.00013813,0,0
