KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,8,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.96519,0.96519,0.000110764,0,0
1,8,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.905853,0.905853,0.000132216,0,0
1,8,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.03105,1.03105,0.00012739,0,0
1,8,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.895586,0.895586,0.000129685,0,0
1,4,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.01993,1.01993,0.000121408,0,0
2,8,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.899433,0.899433,0.000117832,0,0
1,8,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.959124,0.959124,0.000129553,0,0
1,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.945869,0.945869,0.000129872,0,0
1,8,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.961072,0.961072,0.000134541,0,0
1,8,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.960574,0.960574,0.000112554,0,0
1,8,4,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.970056,0.970056,0.000116118,0,0
1,8,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.815215,0.815215,0.000128344,0,0
