KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.70273,4.70273,9.0776e-05,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.81551,2.81551,9.1296e-05,0,0
1,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.7721,2.7721,8.3506e-05,0,0
1,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.69316,2.69316,7.8481e-05,0,0
1,1,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.69832,2.69832,5.546e-05,0,0
1,1,1,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.95188,2.95188,8.429e-05,0,0
2,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.04058,2.04058,7.8202e-05,0,0
4,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29021,1.29021,7.6502e-05,0,0
8,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.12931,1.12931,8.9191e-05,0,0
8,2,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.14439,1.14439,8.8566e-05,0,0
8,4,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.00057,1.00057,8.0582e-05,0,0
8,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.02044,1.02044,8.5067e-05,0,0
8,4,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.02324,1.02324,9.0836e-05,0,0
8,4,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01854,1.01854,7.9826e-05,0,0
8,4,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01099,1.01099,7.7374e-05,0,0
8,4,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.999264,0.999264,9.0197e-05,0,0
8,4,1,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.24699,2.24699,7.9378e-05,0,0
8,4,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01376,1.01376,7.8249e-05,0,0
8,4,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.00486,1.00486,8.4537e-05,0,0
8,4,1,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06949,1.06949,5.5327e-05,0,0
8,4,1,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.07237,1.07237,8.2616e-05,0,0
1,4,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.59601,2.59601,8.5518e-05,0,0
2,4,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.88763,1.88763,9.3303e-05,0,0
4,4,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.26653,1.26653,7.6164e-05,0,0
8,1,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.13998,1.13998,0.000103023,0,0
8,2,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.13458,1.13458,8.4862e-05,0,0
8,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.997213,0.997213,7.7772e-05,0,0
8,8,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.0229,1.0229,7.6677e-05,0,0
8,8,4,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.021,1.021,9.146e-05,0,0
8,8,10,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01588,1.01588,9.1305e-05,0,0
8,8,1,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.21841,2.21841,8.0816e-05,0,0
8,8,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01716,1.01716,9.4548e-05,0,0
8,8,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01987,1.01987,8.108e-05,0,0
8,8,1,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.0191,1.0191,5.5515e-05,0,0
8,8,1,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01784,1.01784,8.574e-05,0,0
1,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.57286,2.57286,8.93e-05,0,0
2,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.86952,1.86952,9.1178e-05,0,0
4,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.20789,1.20789,7.7163e-05,0,0
