KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.32742,2.32742,8.2294e-05,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.40047,1.40047,8.0839e-05,0,0
1,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.57334,1.57334,9.363e-05,0,0
1,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28168,1.28168,8.066e-05,0,0
1,1,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.5513,1.5513,5.303e-05,0,0
1,1,1,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.54063,1.54063,8.71e-05,0,0
2,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.33455,1.33455,7.7164e-05,0,0
4,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.905612,0.905612,9.5807e-05,0,0
8,1,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.532243,0.532243,8.0825e-05,0,0
8,2,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.536799,0.536799,7.8852e-05,0,0
8,4,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.54692,0.54692,7.8523e-05,0,0
8,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.503607,0.503607,8.8333e-05,0,0
8,8,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.504017,0.504017,8.0816e-05,0,0
8,8,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.556115,0.556115,8.1593e-05,0,0
8,8,10,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.558318,0.558318,8.0174e-05,0,0
8,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.502174,0.502174,8.4322e-05,0,0
8,8,1,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.1976,1.1976,7.8582e-05,0,0
8,8,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.515077,0.515077,8.6723e-05,0,0
8,8,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.542753,0.542753,7.6843e-05,0,0
8,8,1,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.571068,0.571068,5.2207e-05,0,0
8,8,1,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.505514,0.505514,9.0565e-05,0,0
1,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.19832,1.19832,7.693e-05,0,0
2,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.998127,0.998127,8.7817e-05,0,0
4,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.675549,0.675549,0.000117964,0,0
8,1,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.511646,0.511646,8.0797e-05,0,0
8,2,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.538005,0.538005,7.6851e-05,0,0
8,4,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.544488,0.544488,7.7234e-05,0,0
8,8,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.504746,0.504746,8.293e-05,0,0
