KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,8,4,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.11407,1.11407,0.000109107,0,0
4,1,1,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.08246,1.08246,0.000146765,0,0
1,4,10,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.04853,2.04853,9.5392e-05,0,0
1,4,1,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.05774,2.05774,0.000142602,0,0
2,1,4,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.67161,1.67161,0.000133516,0,0
2,2,10,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.38441,1.38441,0.00013353,0,0
4,1,4,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.748494,0.748494,0.00013493,0,0
1,8,2,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.13628,1.13628,0.000140153,0,0
2,2,2,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.3792,1.3792,0.000112316,0,0
4,8,10,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.08834,1.08834,0.00014604,0,0
2,8,4,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.2871,1.2871,0.000139494,0,0
8,2,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.49223,0.49223,0.000114482,0,0
1,8,10,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.04312,2.04312,0.000115203,0,0
4,4,10,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.08855,1.08855,0.000144723,0,0
2,1,10,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.47916,1.47916,0.000111082,0,0
4,2,10,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.39909,1.39909,8.5317e-05,0,0
8,8,10,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.09997,1.09997,8.0607e-05,0,0
2,8,4,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.939904,0.939904,0.000128565,0,0
1,8,1,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.0519,2.0519,0.000112781,0,0
8,2,4,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.74754,1.74754,0.000129974,0,0
4,4,4,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.610673,0.610673,0.000126402,0,0
1,1,4,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.13617,2.13617,0.000117428,0,0
8,8,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.440962,0.440962,0.000121371,0,0
8,2,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.492507,0.492507,0.000113291,0,0
2,1,1,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.66727,1.66727,0.000111467,0,0
1,8,10,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.04624,2.04624,0.000131619,0,0
4,8,2,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.22587,1.22587,0.000115957,0,0
8,2,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.32338,1.32338,0.000116057,0,0
1,2,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.14073,2.14073,0.000111949,0,0
1,8,2,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.05537,2.05537,0.000106123,0,0
1,1,4,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08024,2.08024,0.000130277,0,0
8,8,4,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.11819,1.11819,0.000146218,0,0
2,8,4,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01091,1.01091,0.000133477,0,0
8,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.459574,0.459574,0.000113032,0,0
1,4,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.13263,1.13263,0.000118012,0,0
2,8,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.26687,1.26687,0.000111538,0,0
4,4,10,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.618352,0.618352,0.000115529,0,0
2,2,4,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.965225,0.965225,0.000116587,0,0
8,1,2,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.74788,1.74788,0.000131749,0,0
8,1,10,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.70784,1.70784,0.00011668,0,0
2,1,2,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.95914,0.95914,0.000126824,0,0
1,8,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.04086,2.04086,0.000115205,0,0
4,2,4,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.610261,0.610261,0.000115617,0,0
8,2,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.33012,1.33012,0.000116602,0,0
1,2,1,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.16517,1.16517,0.000108714,0,0
8,2,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.49861,0.49861,0.000132255,0,0
2,8,10,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.93885,0.93885,0.000113788,0,0
2,1,4,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.51394,1.51394,0.000117211,0,0
4,1,4,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.611102,0.611102,0.000131845,0,0
4,8,10,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.22361,1.22361,0.000114388,0,0
1,8,4,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.05285,2.05285,0.000112956,0,0
2,2,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.972471,0.972471,0.000125476,0,0
4,8,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.607631,0.607631,0.000117864,0,0
2,4,1,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.936056,0.936056,0.000127657,0,0
1,8,1,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.04717,2.04717,0.000135031,0,0
4,4,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.619608,0.619608,0.000107103,0,0
8,4,1,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.10665,1.10665,0.000116969,0,0
8,1,10,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.75215,1.75215,0.000116279,0,0
2,2,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.35167,1.35167,0.00012873,0,0
2,8,4,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29077,1.29077,0.000115017,0,0
4,1,10,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.07868,1.07868,0.000122627,0,0
8,1,2,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.495744,0.495744,8.3353e-05,0,0
4,2,2,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.04636,1.04636,8.3325e-05,0,0
1,4,4,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.06679,2.06679,0.000131796,0,0
4,8,4,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.22249,1.22249,0.000142361,0,0
2,8,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.02949,1.02949,0.000122735,0,0
1,8,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.13309,1.13309,0.000126729,0,0
8,1,4,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.75175,1.75175,0.000119608,0,0
2,4,2,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.31834,1.31834,0.000123616,0,0
1,2,1,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.13841,2.13841,0.000139702,0,0
1,4,4,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.06301,2.06301,0.000118038,0,0
2,1,4,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.994636,0.994636,0.000125586,0,0
8,4,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.494222,0.494222,0.000121548,0,0
4,8,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.612655,0.612655,8.5689e-05,0,0
2,4,2,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.30895,1.30895,0.000124239,0,0
2,2,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.01102,1.01102,0.000130932,0,0
1,4,1,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.13391,1.13391,0.000133949,0,0
2,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.935186,0.935186,0.000113808,0,0
8,1,1,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.75194,1.75194,0.000119246,0,0
4,2,2,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.08603,1.08603,0.000134717,0,0
2,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.35399,1.35399,0.000116017,0,0
1,4,4,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.06544,2.06544,0.000117695,0,0
8,1,1,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.74761,1.74761,0.000141817,0,0
2,2,10,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03272,1.03272,0.000147546,0,0
2,4,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.32003,1.32003,0.000127601,0,0
4,8,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.609782,0.609782,0.000164655,0,0
2,4,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.968485,0.968485,0.00011806,0,0
4,4,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.615917,0.615917,0.000127675,0,0
4,8,2,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.591476,0.591476,0.00011768,0,0
4,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.604526,0.604526,0.000125215,0,0
2,1,2,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.52867,1.52867,0.000108815,0,0
1,8,2,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.27577,1.27577,0.00012042,0,0
