KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,1,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29828,1.29828,0.000121019,0,0
4,1,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06819,1.06819,0.000121165,0,0
1,1,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.71819,2.71819,0.000130346,0,0
2,2,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.21385,1.21385,0.000127521,0,0
2,1,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29759,1.29759,0.000116258,0,0
2,1,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29044,1.29044,0.000115773,0,0
2,1,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.31228,1.31228,0.000111759,0,0
2,1,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.30333,1.30333,0.000143148,0,0
2,1,10,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.74871,2.74871,0.000118265,0,0
2,1,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.21804,1.21804,0.000115056,0,0
8,1,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.04736,1.04736,0.000121991,0,0
4,2,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06824,1.06824,0.000111955,0,0
4,1,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06836,1.06836,0.000111016,0,0
4,1,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06431,1.06431,0.000155595,0,0
4,1,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.07638,1.07638,0.000129056,0,0
4,1,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.07475,1.07475,0.000119842,0,0
4,1,10,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.32573,2.32573,0.000116268,0,0
4,1,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06645,1.06645,0.000119263,0,0
8,2,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.04744,1.04744,0.000113282,0,0
8,1,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.04741,1.04741,0.000110746,0,0
8,1,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03875,1.03875,0.000125734,0,0
8,1,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.06347,1.06347,0.000112828,0,0
8,1,10,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.05514,1.05514,0.000131316,0,0
8,1,10,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.43018,2.43018,0.000116147,0,0
8,1,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03376,1.03376,0.000113654,0,0
8,2,10,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03329,1.03329,0.000110997,0,0
8,1,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03335,1.03335,0.000118538,0,0
8,1,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.02732,1.02732,0.000108454,0,0
8,1,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.04458,1.04458,0.000131667,0,0
8,1,10,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.0399,1.0399,0.000112313,0,0
8,1,10,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.41901,2.41901,0.000135184,0,0
