KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,4,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74173,1.74173,9.6009e-05,0,0
2,4,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.75069,1.75069,5.4385e-05,0,0
2,4,2,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.78359,1.78359,9.6213e-05,0,0
2,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74182,1.74182,0.000102231,0,0
2,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74227,1.74227,8.0316e-05,0,0
2,4,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74184,1.74184,9.4808e-05,0,0
2,1,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.77653,1.77653,8.2482e-05,0,0
2,2,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.78689,1.78689,0.000115633,0,0
2,8,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,15.0387,15.0387,8.4722e-05,0,0
1,4,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74159,1.74159,0.000170545,0,0
4,4,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.7426,1.7426,8.273e-05,0,0
8,4,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74215,1.74215,0.00010851,0,0
1,4,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.76175,1.76175,0.000125523,0,0
1,4,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74994,1.74994,0.000128228,0,0
1,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74453,1.74453,0.000114563,0,0
1,4,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.76816,1.76816,0.000126779,0,0
1,4,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.75037,1.75037,5.3567e-05,0,0
1,4,2,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.78397,1.78397,0.000110051,0,0
1,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74154,1.74154,8.9229e-05,0,0
1,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74159,1.74159,8.0795e-05,0,0
1,4,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.7418,1.7418,9.9154e-05,0,0
1,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.77599,1.77599,8.7375e-05,0,0
1,2,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.78699,1.78699,0.000106161,0,0
1,8,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,14.8771,14.8771,8.2273e-05,0,0
4,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74211,1.74211,0.000107496,0,0
8,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74198,1.74198,9.8526e-05,0,0
1,4,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.76064,1.76064,9.0106e-05,0,0
1,4,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74895,1.74895,0.000112926,0,0
1,4,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74353,1.74353,7.9686e-05,0,0
1,4,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.7677,1.7677,9.1075e-05,0,0
1,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.75013,1.75013,5.2423e-05,0,0
1,4,1,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.7833,1.7833,0.000132506,0,0
