KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,4,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.95087,1.95087,7.4595e-05,0,0
4,4,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.99756,1.99756,8.3395e-05,0,0
4,4,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.90931,1.90931,0.000104878,0,0
4,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.90852,1.90852,9.3978e-05,0,0
4,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.85164,1.85164,5.289e-05,0,0
4,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.1277,2.1277,8.7402e-05,0,0
4,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.26592,2.26592,0.000118892,0,0
4,2,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.92345,1.92345,8.1432e-05,0,0
4,8,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,15.4667,15.4667,7.738e-05,0,0
1,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.8542,1.8542,0.00010199,0,0
2,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.83803,1.83803,8.0493e-05,0,0
8,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.86325,1.86325,8.7998e-05,0,0
2,4,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.86946,1.86946,8.8075e-05,0,0
2,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.91638,1.91638,0.000102568,0,0
2,4,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.85545,1.85545,8.0456e-05,0,0
2,4,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.85849,1.85849,8.3833e-05,0,0
2,4,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.94282,1.94282,8.9735e-05,0,0
2,4,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.87492,1.87492,0.000111954,0,0
2,4,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.86824,1.86824,9.5119e-05,0,0
2,4,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.83851,1.83851,0.000104898,0,0
2,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.91808,1.91808,9.2286e-05,0,0
2,4,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.87422,1.87422,8.7047e-05,0,0
2,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.91489,1.91489,9.2549e-05,0,0
2,2,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.87918,1.87918,0.000120119,0,0
2,8,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,15.1081,15.1081,9.1053e-05,0,0
