KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.914078,0.914078,7.0766e-05,0,0
8,4,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.05095,1.05095,8.0878e-05,0,0
8,4,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.10152,1.10152,8.5856e-05,0,0
8,4,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.917833,0.917833,8.6468e-05,0,0
8,4,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.14855,1.14855,7.9538e-05,0,0
8,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.915588,0.915588,5.3292e-05,0,0
8,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.899886,0.899886,7.5901e-05,0,0
8,2,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.21882,1.21882,7.9658e-05,0,0
8,8,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.917748,0.917748,7.9666e-05,0,0
1,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.872186,0.872186,7.8427e-05,0,0
2,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.858785,0.858785,8.2341e-05,0,0
4,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.858838,0.858838,7.7741e-05,0,0
2,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.896679,0.896679,8.0839e-05,0,0
2,1,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.87422,0.87422,9.6461e-05,0,0
2,1,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.90246,0.90246,9.0584e-05,0,0
2,1,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.861236,0.861236,8.0055e-05,0,0
2,1,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.81495,1.81495,7.9036e-05,0,0
2,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.923587,0.923587,8.0621e-05,0,0
2,1,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.09371,1.09371,7.6641e-05,0,0
2,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.954363,0.954363,8.1186e-05,0,0
2,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.887711,0.887711,5.2393e-05,0,0
2,2,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.914679,0.914679,7.8533e-05,0,0
2,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.854012,0.854012,8.6511e-05,0,0
2,8,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.848745,0.848745,8.2983e-05,0,0
1,8,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.966194,0.966194,8.0598e-05,0,0
4,8,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.847236,0.847236,8.0125e-05,0,0
4,8,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.922169,0.922169,7.8143e-05,0,0
4,8,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.86567,0.86567,8.5278e-05,0,0
4,8,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.862204,0.862204,0.000112122,0,0
4,8,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.850905,0.850905,8.0414e-05,0,0
4,8,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.02177,1.02177,8.9448e-05,0,0
4,8,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.962521,0.962521,8.1547e-05,0,0
4,8,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.923896,0.923896,8.9614e-05,0,0
4,8,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.907959,0.907959,9.4202e-05,0,0
4,8,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.921356,0.921356,5.1708e-05,0,0
4,2,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.912097,0.912097,9.4342e-05,0,0
4,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.845982,0.845982,8.4845e-05,0,0
1,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.902458,0.902458,8.4663e-05,0,0
4,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.04213,1.04213,8.9189e-05,0,0
4,4,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.885511,0.885511,9.297e-05,0,0
4,4,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.09157,1.09157,7.5897e-05,0,0
4,4,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.843077,0.843077,8.2936e-05,0,0
4,4,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.97702,0.97702,8.0807e-05,0,0
4,4,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.846651,0.846651,8.3312e-05,0,0
4,4,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.835927,0.835927,8.4187e-05,0,0
4,4,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.847907,0.847907,8.0076e-05,0,0
4,4,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.892772,0.892772,8.2091e-05,0,0
4,4,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.888891,0.888891,8.4991e-05,0,0
4,1,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.822437,0.822437,8.4114e-05,0,0
4,2,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.923308,0.923308,9.4224e-05,0,0
4,8,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.865297,0.865297,9.5847e-05,0,0
1,1,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.834192,0.834192,0.000106854,0,0
2,1,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.839033,0.839033,8.22e-05,0,0
8,1,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.826872,0.826872,8.4776e-05,0,0
4,1,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.864403,0.864403,8.5881e-05,0,0
4,1,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.852555,0.852555,8.6952e-05,0,0
4,1,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.864851,0.864851,8.2876e-05,0,0
4,1,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.826551,0.826551,9.8722e-05,0,0
4,1,4,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.78079,1.78079,8.1777e-05,0,0
4,1,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.870491,0.870491,0.000105105,0,0
4,1,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.869253,0.869253,8.0487e-05,0,0
4,1,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.853625,0.853625,9.6472e-05,0,0
4,1,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.894902,0.894902,8.7502e-05,0,0
4,1,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.869692,0.869692,9.2181e-05,0,0
