KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,2,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.16044,4.16044,0.000143217,0,0
2,2,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.45527,2.45527,9.9297e-05,0,0
4,2,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.3314,2.3314,0.000105525,0,0
8,2,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.42795,2.42795,9.9898e-05,0,0
4,1,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.31918,2.31918,9.3245e-05,0,0
4,4,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.09195,2.09195,8.2538e-05,0,0
4,8,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08431,2.08431,0.000110211,0,0
4,8,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08564,2.08564,8.8942e-05,0,0
4,8,4,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08538,2.08538,9.2618e-05,0,0
4,8,10,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08254,2.08254,0.000106729,0,0
4,8,10,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08263,2.08263,7.7677e-05,0,0
4,8,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08638,2.08638,0.000106183,0,0
4,8,10,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08209,2.08209,9.9276e-05,0,0
4,8,10,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.07554,2.07554,8.9623e-05,0,0
4,8,10,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.00485,1.00485,9.197e-05,0,0
4,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.938179,0.938179,5.2318e-05,0,0
1,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.43547,2.43547,0.000128456,0,0
2,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.19508,1.19508,9.8806e-05,0,0
8,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.914806,0.914806,8.4624e-05,0,0
8,1,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03874,1.03874,7.7219e-05,0,0
8,2,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.03882,1.03882,9.5641e-05,0,0
8,4,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.919836,0.919836,0.000100651,0,0
8,8,1,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.91497,0.91497,8.5325e-05,0,0
8,8,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.91472,0.91472,0.000132531,0,0
8,8,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.914647,0.914647,7.9679e-05,0,0
8,8,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.960968,0.960968,8.0164e-05,0,0
