KERNEL_DATA_BLOCK_SIZE, KERNEL_GRID_SPLIT, KERNEL_MAX_DIM_UNROLL, KERNEL_PREFETCH_SIZE, KERNEL_STORE_DATA, KERNEL_TRANSFER_WHOLE_DATASET, KERNEL_USE_LOCAL_MEMORY, LOCAL_SIZE, OPTIMIZATION_FLAGS, VERBOSE, duration
8, 8, 2, 128, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.27921
1, 8, 2, 128, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.72782
8, 1, 2, 128, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.46313
8, 8, 1, 128, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.27897
8, 8, 2, 16, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.31174
8, 8, 2, 128, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.27866
8, 8, 2, 128, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.27809
8, 8, 2, 128, array, true, false, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 2.27041
8, 8, 2, 16, array, true, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.30686
8, 8, 2, 128, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 1.27862
