KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,2,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.08437,2.08437,7.769e-05,0,0
1,2,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.08586,2.08586,0.000208661,0,0
1,1,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,3.12381,3.12381,0.00027264,0,0
1,4,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.11953,2.11953,0.00023736,0,0
1,8,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,45.1116,45.1116,0.00021124,0,0
2,2,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.07887,2.07887,0.00023474,0,0
4,2,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.08147,2.08147,0.0002049,0,0
8,2,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.07561,2.07561,0.000207261,0,0
8,2,1,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.07454,2.07454,0.000193061,0,0
8,2,2,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.07336,2.07336,0.00019,0,0
8,2,10,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.07223,2.07223,0.0001927,0,0
8,2,10,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.07615,2.07615,0.000192731,0,0
8,2,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.0735,2.0735,0.00018937,0,0
8,2,10,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.07379,2.07379,0.000194361,0,0
8,2,10,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.09634,2.09634,0.000190521,0,0
8,2,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.72225,1.72225,0.000193251,0,0
8,2,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.68339,1.68339,0.00015521,0,0
8,1,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.66117,1.66117,0.000284411,0,0
8,4,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.75294,1.75294,0.000205081,0,0
8,8,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,33.9991,33.9991,0.000206601,0,0
1,1,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67513,1.67513,0.000197331,0,0
2,1,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.66932,1.66932,0.000207921,0,0
4,1,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.66598,1.66598,0.000192491,0,0
8,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.66293,1.66293,0.000197901,0,0
8,1,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.66276,1.66276,0.000206452,0,0
8,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.66121,1.66121,0.000195202,0,0
8,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.71462,1.71462,0.000193311,0,0
8,1,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.69631,1.69631,0.000193321,0,0
8,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67312,1.67312,0.000196261,0,0
8,1,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.68458,1.68458,0.000191631,0,0
8,1,10,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.8729,2.8729,0.000278471,0,0
8,1,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.93311,1.93311,0.000148671,0,0
