KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,2,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.08194,2.08194,0.000106551,0,0
4,4,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.9932,1.9932,0.000202252,0,0
8,4,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.98694,1.98694,0.000277012,0,0
8,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.95913,1.95913,0.000225672,0,0
2,1,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.69205,1.69205,0.000194551,0,0
4,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67855,1.67855,0.000190862,0,0
1,8,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,38.5616,38.5616,0.000197421,0,0
2,1,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,3.06604,3.06604,0.000205321,0,0
8,4,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.96312,1.96312,0.000195002,0,0
2,8,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,43.6385,43.6385,0.000237702,0,0
1,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.01184,2.01184,0.000194891,0,0
8,8,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,39.714,39.714,0.000236901,0,0
8,1,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,3.13316,3.13316,0.000197231,0,0
8,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.93276,1.93276,0.000201842,0,0
4,1,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,3.09977,3.09977,0.000159191,0,0
2,8,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,43.0599,43.0599,0.000246811,0,0
1,8,4,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,45.2654,45.2654,0.000243782,0,0
8,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.67928,1.67928,0.000248422,0,0
4,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.71103,1.71103,0.000193172,0,0
1,4,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.11906,2.11906,0.000193282,0,0
1,8,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,39.5917,39.5917,0.000193821,0,0
2,8,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,43.0472,43.0472,0.000225042,0,0
1,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.82513,1.82513,0.000194411,0,0
2,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.74272,1.74272,0.000149631,0,0
8,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.76141,1.76141,0.000314542,0,0
8,8,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,34.4646,34.4646,0.000243742,0,0
2,2,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.19209,2.19209,0.000237491,0,0
1,2,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.18005,2.18005,0.000206611,0,0
2,8,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,43.0685,43.0685,0.000195721,0,0
4,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.16392,2.16392,0.000193111,0,0
4,4,2,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.98542,1.98542,0.000295852,0,0
8,1,4,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,3.05793,3.05793,0.000241252,0,0
2,2,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.72176,1.72176,0.000194492,0,0
2,2,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.79237,1.79237,0.000193852,0,0
4,8,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,39.0046,39.0046,0.000150532,0,0
2,4,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.96412,1.96412,0.000192081,0,0
8,2,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.68352,1.68352,0.000200331,0,0
1,8,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,39.1912,39.1912,0.000192071,0,0
1,8,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,47.1561,47.1561,0.000203922,0,0
8,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67385,1.67385,0.000196152,0,0
4,8,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,34.5939,34.5939,0.000194102,0,0
2,8,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,36.931,36.931,0.000153392,0,0
4,2,1,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.31678,2.31678,0.000196992,0,0
2,4,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.00475,2.00475,0.000193832,0,0
1,4,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.10558,2.10558,0.000187292,0,0
1,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,3.24256,3.24256,0.000188861,0,0
8,8,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,38.9874,38.9874,0.000233922,0,0
2,1,1,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,3.65564,3.65564,0.000188581,0,0
1,1,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.7576,1.7576,0.000186172,0,0
8,8,10,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,39.0031,39.0031,0.000236292,0,0
2,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67005,1.67005,0.000237762,0,0
8,8,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,36.1493,36.1493,0.000191082,0,0
8,2,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.74896,1.74896,0.000264792,0,0
1,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.773,1.773,0.000188891,0,0
1,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,3.26148,3.26148,0.000192652,0,0
2,8,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,43.6659,43.6659,0.000199782,0,0
8,2,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.7071,1.7071,0.000202412,0,0
8,8,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,35.5055,35.5055,0.000192892,0,0
8,1,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.75464,1.75464,0.000190272,0,0
4,1,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.75239,1.75239,0.000207892,0,0
8,2,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.77484,1.77484,0.000193202,0,0
2,4,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.95862,1.95862,0.000206002,0,0
1,2,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.13034,2.13034,0.000250312,0,0
2,4,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.82923,1.82923,0.000200442,0,0
1,2,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.1086,2.1086,0.000207372,0,0
2,8,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,41.5529,41.5529,0.000255392,0,0
8,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,3.00755,3.00755,0.000200352,0,0
2,8,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,39.075,39.075,0.000147741,0,0
2,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.69598,1.69598,0.000199882,0,0
8,4,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.98647,1.98647,0.000205021,0,0
2,4,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.96205,1.96205,0.000157441,0,0
1,2,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.09863,2.09863,0.000193222,0,0
8,8,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,38.9863,38.9863,0.000200372,0,0
1,8,2,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,47.1451,47.1451,0.000195542,0,0
2,4,2,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.98983,1.98983,0.000198071,0,0
2,2,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.20811,2.20811,0.000151011,0,0
8,8,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,41.4081,41.4081,0.000117651,0,0
1,2,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.76079,1.76079,0.000250772,0,0
2,4,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.86279,1.86279,0.000160271,0,0
8,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,3.07616,3.07616,0.000199512,0,0
4,1,2,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,3.11515,3.11515,0.000203961,0,0
1,8,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,37.5325,37.5325,0.000244522,0,0
4,4,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.86902,1.86902,0.000231382,0,0
1,2,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.11877,2.11877,0.000199832,0,0
4,8,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,35.8286,35.8286,0.000163691,0,0
1,8,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,43.6484,43.6484,0.000206843,0,0
8,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.7868,1.7868,0.000164222,0,0
1,4,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.972,1.972,0.000232763,0,0
1,4,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.88605,1.88605,0.000202311,0,0
2,8,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,37.9325,37.9325,0.000197142,0,0
2,4,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.80601,1.80601,0.000202231,0,0
