KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,4,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.912911,0.912911,0.000113681,0,0
2,4,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.848379,0.848379,0.000195122,0,0
2,8,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.18751,1.18751,0.000201771,0,0
4,2,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.15018,1.15018,0.000121081,0,0
8,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.716915,0.716915,0.000199761,0,0
4,4,2,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.04189,1.04189,0.000114251,0,0
8,4,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.89086,0.89086,0.000190632,0,0
8,1,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.49151,1.49151,0.000203912,0,0
4,1,1,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.64043,1.64043,0.000231362,0,0
4,2,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.15,1.15,0.000192651,0,0
4,8,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.23806,1.23806,0.000193021,0,0
1,8,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.27925,1.27925,0.000182031,0,0
