KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,2,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.09744,2.09744,0.000103431,0,0
2,2,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.70839,1.70839,0.000157601,0,0
2,2,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.09887,2.09887,0.000214551,0,0
2,4,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.98411,1.98411,0.000200121,0,0
2,1,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,3.06552,3.06552,0.000167161,0,0
4,2,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.09387,2.09387,0.000225661,0,0
1,2,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.10811,2.10811,0.000164701,0,0
2,2,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.099,2.099,0.000204261,0,0
2,2,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.10014,2.10014,0.000163871,0,0
2,2,2,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.10151,2.10151,0.000203381,0,0
2,2,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.10253,2.10253,0.000161931,0,0
2,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.08162,2.08162,0.000203272,0,0
2,2,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.76115,1.76115,0.000194701,0,0
2,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.78674,1.78674,0.000280251,0,0
2,1,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.70276,1.70276,0.000192991,0,0
4,2,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.70128,1.70128,0.000239392,0,0
1,2,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.71908,1.71908,0.000304591,0,0
2,2,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.70832,1.70832,0.000196371,0,0
2,2,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.70713,1.70713,0.000218622,0,0
2,2,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.71901,1.71901,0.000165751,0,0
2,2,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.78472,1.78472,0.000188672,0,0
2,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.68448,1.68448,0.000195411,0,0
2,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.7388,1.7388,0.000197141,0,0
2,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.76363,1.76363,0.000201771,0,0
2,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.68,1.68,0.000198121,0,0
4,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67814,1.67814,0.000250931,0,0
1,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.69626,1.69626,0.000189431,0,0
2,2,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.68484,1.68484,0.000195272,0,0
2,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.68428,1.68428,0.000196692,0,0
2,2,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.696,1.696,0.000197262,0,0
2,2,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.76085,1.76085,0.000190951,0,0
4,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.06937,2.06937,0.000197342,0,0
4,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.69461,1.69461,0.000198012,0,0
4,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.76303,1.76303,0.000200712,0,0
4,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67617,1.67617,0.000189901,0,0
8,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.675,1.675,0.000187501,0,0
4,2,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67835,1.67835,0.000186321,0,0
4,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.67838,1.67838,0.000187471,0,0
4,2,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.6877,1.6877,0.000202741,0,0
4,2,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.75207,1.75207,0.000222881,0,0
8,2,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.06748,2.06748,0.000186472,0,0
8,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.69434,1.69434,0.000192561,0,0
8,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.76361,1.76361,0.000189031,0,0
