KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,2,4,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.39333,2.39333,0.000102051,0,0
1,2,1,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.83615,1.83615,0.000231432,0,0
4,8,4,64,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.76146,1.76146,0.000381622,0,0
4,2,2,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.23497,2.23497,0.000234201,0,0
4,1,4,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.50377,2.50377,0.000153282,0,0
8,1,4,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.59246,2.59246,0.000237512,0,0
8,2,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.47873,1.47873,0.000192181,0,0
8,2,4,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.57755,2.57755,0.000275232,0,0
2,1,2,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.45655,2.45655,0.000188881,0,0
1,2,10,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.18573,2.18573,0.000149541,0,0
4,1,4,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.50939,2.50939,0.000197731,0,0
4,4,2,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.10174,2.10174,0.000198471,0,0
1,2,4,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.19216,2.19216,0.000240131,0,0
4,1,4,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.49671,2.49671,0.000198131,0,0
1,1,10,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.36883,2.36883,0.000191442,0,0
8,4,1,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28942,1.28942,0.000205291,0,0
2,8,10,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08862,2.08862,0.000105071,0,0
1,8,4,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.06405,2.06405,0.000145881,0,0
4,2,1,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.21435,2.21435,0.000232162,0,0
1,1,1,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.93564,1.93564,0.000188981,0,0
4,8,4,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.98821,1.98821,0.000188901,0,0
4,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.529,2.529,0.000188982,0,0
2,2,1,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.37165,2.37165,0.000185771,0,0
2,2,2,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.36143,2.36143,0.000201081,0,0
1,1,10,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.36462,2.36462,0.000190391,0,0
4,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.84182,1.84182,0.000198711,0,0
2,1,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.40489,2.40489,0.000242242,0,0
2,2,10,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.39818,2.39818,0.000197671,0,0
8,2,4,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.57644,2.57644,0.000195271,0,0
1,4,4,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.09745,2.09745,0.000197691,0,0
8,1,10,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.59102,2.59102,0.000272712,0,0
4,1,1,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.51247,2.51247,0.000193511,0,0
4,8,10,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.00766,2.00766,0.000184711,0,0
8,8,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.25445,2.25445,0.000189211,0,0
8,2,10,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.50882,1.50882,0.000186682,0,0
2,1,2,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.82736,1.82736,0.000200242,0,0
2,4,1,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.62893,1.62893,0.000192531,0,0
2,8,2,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.58865,1.58865,0.000163822,0,0
1,2,10,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.15982,2.15982,0.000192521,0,0
8,8,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.24674,2.24674,0.000193382,0,0
2,4,4,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.17716,2.17716,0.000146881,0,0
4,2,4,64,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.84218,1.84218,0.000195651,0,0
8,8,10,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.30672,1.30672,0.000195981,0,0
4,1,4,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.15811,2.15811,0.000193472,0,0
1,1,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.02254,2.02254,0.000194841,0,0
1,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.03186,2.03186,0.000194641,0,0
8,4,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.2901,1.2901,0.000192201,0,0
8,4,2,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.26518,2.26518,0.000163091,0,0
8,1,1,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.48385,1.48385,0.000200921,0,0
8,2,2,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.5966,2.5966,0.000194351,0,0
4,1,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.1652,2.1652,0.000190941,0,0
2,8,4,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08887,2.08887,0.000197651,0,0
8,2,2,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.58452,2.58452,0.000194882,0,0
1,1,2,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.68997,3.68997,0.000187502,0,0
4,2,10,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.8303,1.8303,0.000192552,0,0
2,8,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.53705,1.53705,0.000197751,0,0
4,1,1,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.08324,2.08324,0.000201261,0,0
2,1,4,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.44159,2.44159,0.00018971,0,0
4,8,4,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.99869,1.99869,0.000192641,0,0
1,2,1,64,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.15901,2.15901,0.000205761,0,0
8,1,10,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.5948,2.5948,0.00019679,0,0
4,8,10,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.99507,1.99507,0.00013484,0,0
4,4,2,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.83055,1.83055,0.000187861,0,0
1,8,10,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.03182,2.03182,0.000197771,0,0
1,1,2,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.37237,2.37237,0.000188051,0,0
8,1,4,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.5958,2.5958,0.000193521,0,0
4,4,2,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.87811,1.87811,0.000219181,0,0
1,8,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.91122,1.91122,0.000188931,0,0
2,2,4,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.68186,1.68186,0.0001972,0,0
8,1,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.5226,1.5226,0.000149081,0,0
4,8,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.99683,1.99683,0.000188341,0,0
8,2,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.54374,1.54374,0.000160271,0,0
4,8,10,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.75481,1.75481,0.000192551,0,0
