KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.941761,0.941761,0.000185781,0,0
1,2,10,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.57417,1.57417,0.000196741,0,0
8,1,2,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.879331,0.879331,0.000351522,0,0
1,8,2,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.748443,0.748443,0.000201682,0,0
8,4,1,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.816177,0.816177,0.000199121,0,0
8,8,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.444923,0.444923,0.000193971,0,0
8,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.502359,0.502359,0.000175791,0,0
2,2,2,64,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.56522,1.56522,0.000192621,0,0
8,2,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.535479,0.535479,0.000229692,0,0
2,4,4,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.36192,1.36192,0.000213321,0,0
8,1,2,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.877736,0.877736,0.000232611,0,0
1,4,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.718102,0.718102,0.000165572,0,0
8,4,4,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.450283,0.450283,0.000186051,0,0
1,1,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.58005,1.58005,0.000198981,0,0
2,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.597846,0.597846,0.000148011,0,0
1,4,1,32,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.54491,1.54491,0.000277161,0,0
8,1,2,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.879178,0.879178,0.000230592,0,0
4,4,4,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.985232,0.985232,0.000242122,0,0
4,8,1,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.454943,0.454943,0.000196692,0,0
4,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.540064,0.540064,0.000146541,0,0
2,2,10,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.56438,1.56438,0.000195631,0,0
2,2,2,64,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.56123,1.56123,0.000192801,0,0
1,8,4,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.39591,1.39591,0.000222482,0,0
4,1,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.702555,0.702555,0.000231182,0,0
4,4,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.798478,0.798478,0.000182961,0,0
8,2,4,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.510708,0.510708,0.000186991,0,0
8,8,4,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.416801,0.416801,0.000182731,0,0
4,2,1,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.54976,0.54976,0.000221941,0,0
2,1,10,64,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.59311,1.59311,0.000186361,0,0
1,1,10,16,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.56347,1.56347,0.000187781,0,0
4,8,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.4671,0.4671,0.000186581,0,0
2,1,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.0596,1.0596,0.000183222,0,0
8,2,4,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.863464,0.863464,0.000197231,0,0
8,4,10,16,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.814914,0.814914,0.000226751,0,0
1,2,4,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.804493,0.804493,0.000187372,0,0
2,2,2,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.910162,0.910162,0.000188271,0,0
2,2,10,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.682994,0.682994,0.000101341,0,0
4,1,10,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.703811,0.703811,0.000187792,0,0
4,4,4,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.965072,0.965072,0.000185371,0,0
1,8,10,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.3648,1.3648,0.000194152,0,0
1,8,4,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.24907,1.24907,0.000189132,0,0
1,8,2,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.808523,0.808523,0.000198431,0,0
4,1,4,32,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.49607,1.49607,0.000197392,0,0
1,4,1,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.73346,0.73346,0.000233331,0,0
8,8,1,64,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.748835,0.748835,0.000214821,0,0
8,4,10,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.807041,0.807041,0.000206121,0,0
8,2,10,128,array,false,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.880402,0.880402,0.000207051,0,0
8,2,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.506664,0.506664,0.000220671,0,0
4,2,1,32,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.12593,1.12593,0.000186431,0,0
4,4,10,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.779493,0.779493,0.000177211,0,0
2,4,4,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.39739,1.39739,0.000190991,0,0
1,4,10,32,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.57368,1.57368,0.000188702,0,0
2,1,4,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.725442,0.725442,0.000186211,0,0
2,2,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.5476,1.5476,0.000184681,0,0
8,8,1,128,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.742678,0.742678,0.000186451,0,0
1,2,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.64237,1.64237,0.000188191,0,0
2,1,4,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.60166,1.60166,0.000183821,0,0
4,8,4,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.915441,0.915441,0.000146711,0,0
1,8,2,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.27383,1.27383,0.000234862,0,0
