KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.54158,1.54158,9.9231e-05,0,0
2,1,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.59456,1.59456,0.000194972,0,0
1,2,1,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.57219,1.57219,0.000319183,0,0
1,1,2,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.53352,1.53352,0.000197832,0,0
1,1,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.58447,1.58447,0.000194101,0,0
1,1,1,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.55419,1.55419,0.000192571,0,0
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.947213,0.947213,0.000202732,0,0
1,1,1,16,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.57515,1.57515,0.000194262,0,0
2,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.708684,0.708684,0.000189242,0,0
1,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.816741,0.816741,0.000199492,0,0
1,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.949443,0.949443,0.000191462,0,0
1,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.94547,0.94547,0.000198171,0,0
1,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.954121,0.954121,0.000195131,0,0
1,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.945031,0.945031,0.000191732,0,0
4,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.716494,0.716494,0.000185262,0,0
2,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.675591,0.675591,0.000187342,0,0
2,1,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.708712,0.708712,0.000217192,0,0
2,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.688477,0.688477,0.000190462,0,0
2,1,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.714803,0.714803,0.000188432,0,0
2,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.725368,0.725368,0.000185772,0,0
4,2,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.549182,0.549182,0.000264722,0,0
2,4,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.61661,0.61661,0.000190482,0,0
2,2,2,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.67526,0.67526,0.000204242,0,0
