KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,8,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,47.6785,47.6785,0.000186011,0,0
1,8,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,42.1795,42.1795,0.000192602,0,0
1,8,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,38.9858,38.9858,0.000196491,0,0
1,8,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,39.3102,39.3102,0.000185651,0,0
1,8,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,40.713,40.713,0.000180511,0,0
1,8,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,40.7257,40.7257,0.000191461,0,0
1,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.97864,1.97864,0.000200041,0,0
1,2,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.05322,2.05322,0.000238511,0,0
1,4,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.37238,2.37238,0.000210111,0,0
2,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.9509,1.9509,0.000187831,0,0
4,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.9673,1.9673,0.000194831,0,0
8,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.96944,1.96944,0.000198882,0,0
2,1,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.97638,1.97638,0.000195931,0,0
2,1,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.96883,1.96883,0.000197741,0,0
2,1,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.97915,1.97915,0.000200181,0,0
2,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.9868,1.9868,0.000197081,0,0
2,1,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,3.35608,3.35608,0.000131881,0,0
2,1,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.92609,1.92609,0.000188691,0,0
