KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,4,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.65058,1.65058,0.000197731,0,0
1,4,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.83961,1.83961,0.000107361,0,0
4,4,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.93362,1.93362,0.000162001,0,0
8,4,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.34496,1.34496,0.000198261,0,0
8,1,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.53785,1.53785,0.000189321,0,0
8,2,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.53775,1.53775,0.00011054,0,0
8,8,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.34336,1.34336,0.000202852,0,0
8,8,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.31289,1.31289,0.000203811,0,0
8,8,2,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.31356,1.31356,0.000203311,0,0
8,8,4,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.31388,1.31388,0.00010649,0,0
8,8,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29306,1.29306,0.000158621,0,0
8,8,1,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.33006,1.33006,0.000167161,0,0
8,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28549,1.28549,0.000169871,0,0
8,8,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.25445,2.25445,0.000190542,0,0
8,8,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28787,1.28787,0.000190501,0,0
8,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28984,1.28984,0.000164211,0,0
1,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.90468,1.90468,0.000201001,0,0
2,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.56041,1.56041,0.000195991,0,0
4,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.76728,1.76728,0.000201421,0,0
8,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.47251,1.47251,0.000205071,0,0
8,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.47219,1.47219,0.000185291,0,0
8,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28709,1.28709,0.000189121,0,0
8,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28556,1.28556,0.000200002,0,0
8,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28546,1.28546,0.000200661,0,0
8,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.31933,1.31933,0.000197161,0,0
8,8,4,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.30647,1.30647,0.000197681,0,0
8,8,4,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.32203,1.32203,0.000190281,0,0
8,8,4,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29321,1.29321,0.000165841,0,0
8,8,4,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.24589,2.24589,0.000203601,0,0
8,8,4,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28795,1.28795,0.000193221,0,0
8,8,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.29054,1.29054,0.000199961,0,0
1,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.89719,1.89719,0.000187232,0,0
2,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.56308,1.56308,0.000236492,0,0
4,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.77011,1.77011,0.000197181,0,0
8,1,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.47238,1.47238,0.000196291,0,0
8,2,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.47214,1.47214,0.000188451,0,0
8,4,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.28706,1.28706,0.000219581,0,0
