KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_MAX_DIM_UNROLL, KERNEL_TRANS_PREFETCH_SIZE, KERNEL_TRANS_STORE_DATA, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_TRANS_USE_LOCAL_MEMORY, OPTIMIZATION_FLAGS, TRANS_LOCAL_SIZE, VERBOSE, duration
8, 1, 10, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.528614
1, 1, 10, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.533675
8, 1, 10, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.530789
8, 1, 1, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.530617
8, 1, 10, 16, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.544312
8, 1, 10, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.536009
8, 1, 10, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.535428
8, 1, 10, 32, array, true, false, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 1.17155
8, 1, 10, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 256, true, 0.536131
8, 1, 10, 16, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 0.596562
