KERNEL_DATA_BLOCK_SIZE, KERNEL_GRID_SPLIT, KERNEL_MAX_DIM_UNROLL, KERNEL_PREFETCH_SIZE, KERNEL_STORE_DATA, KERNEL_TRANSFER_WHOLE_DATASET, KERNEL_USE_LOCAL_MEMORY, LOCAL_SIZE, OPTIMIZATION_FLAGS, VERBOSE, duration
8, 4, 4, 128, array, false, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
1, 4, 4, 128, array, false, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
8, 1, 4, 128, array, false, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
8, 4, 1, 128, array, false, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
8, 4, 4, 16, array, false, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
8, 4, 4, 128, array, false, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
8, 4, 4, 128, array, true, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
8, 4, 4, 128, array, false, false, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
8, 4, 4, 16, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
8, 4, 4, 128, array, false, true, 128, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, -1
