KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.40515,1.40515,9.878e-05,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.588986,0.588986,0.000103706,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.564277,0.564277,8.949e-05,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.542614,0.542614,0.000258831,0,0
1,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.577009,0.577009,0.000110633,0,0
1,4,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.567392,0.567392,0.000108011,0,0
1,8,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.5941,0.5941,0.00011877,0,0
2,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.542436,0.542436,9.9899e-05,0,0
4,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.542879,0.542879,0.000112005,0,0
8,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.545473,0.545473,0.000109751,0,0
2,1,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.548476,0.548476,0.000113955,0,0
2,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.552071,0.552071,9.5912e-05,0,0
2,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.552424,0.552424,0.00011089,0,0
2,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.54256,0.54256,0.000116035,0,0
2,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.538512,0.538512,0.000190077,0,0
2,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.624711,0.624711,0.000136569,0,0
2,1,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.554591,0.554591,0.000212572,0,0
2,1,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.38981,1.38981,0.000110343,0,0
2,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.606147,0.606147,0.000120263,0,0
2,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.582837,0.582837,0.00011506,0,0
2,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.600245,0.600245,0.000193982,0,0
2,4,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.571406,0.571406,0.000122576,0,0
2,8,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.570696,0.570696,0.000137152,0,0
1,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.542634,0.542634,0.000123739,0,0
4,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.542466,0.542466,0.000123612,0,0
8,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.538816,0.538816,0.000133828,0,0
2,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.542469,0.542469,0.000114912,0,0
2,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.545383,0.545383,0.000132014,0,0
2,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.544142,0.544142,0.000119232,0,0
