KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.713614,0.713614,0.000188156,0,0
1,2,2,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.64349,1.64349,0.000102242,0,0
2,2,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.43103,1.43103,8.9564e-05,0,0
2,8,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.884072,0.884072,8.2362e-05,0,0
1,4,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.665985,0.665985,0.000181567,0,0
2,8,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.09022,1.09022,8.0127e-05,0,0
2,8,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.685736,0.685736,8.6858e-05,0,0
8,8,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.670972,0.670972,7.4254e-05,0,0
4,2,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.699794,0.699794,7.9085e-05,0,0
8,2,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.680124,0.680124,0.000178377,0,0
4,8,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.917944,0.917944,5.0362e-05,0,0
1,8,10,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.823694,0.823694,8.2706e-05,0,0
8,1,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.54609,1.54609,9.8523e-05,0,0
1,1,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.5194,1.5194,7.865e-05,0,0
2,4,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.781852,0.781852,9.5973e-05,0,0
1,1,1,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.64694,1.64694,7.8182e-05,0,0
4,4,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.668941,0.668941,0.000109386,0,0
8,1,10,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.27305,1.27305,8.0679e-05,0,0
8,2,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.21677,1.21677,5.197e-05,0,0
1,2,2,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.32858,1.32858,7.6833e-05,0,0
4,8,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.619209,0.619209,0.000217736,0,0
4,8,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.61621,0.61621,7.5726e-05,0,0
8,2,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.22105,1.22105,7.7009e-05,0,0
4,8,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.750217,0.750217,7.6292e-05,0,0
2,1,4,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.62278,1.62278,8.053e-05,0,0
2,8,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.10709,1.10709,0.000152713,0,0
4,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.632774,0.632774,7.7601e-05,0,0
2,4,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.651125,0.651125,8.7384e-05,0,0
4,2,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.35762,1.35762,8.428e-05,0,0
1,8,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.729184,0.729184,0.000248713,0,0
2,4,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.701127,0.701127,7.647e-05,0,0
2,2,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.55389,1.55389,7.7038e-05,0,0
4,2,10,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.62471,1.62471,9.457e-05,0,0
1,8,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.804487,0.804487,4.7756e-05,0,0
8,1,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.57387,1.57387,0.000144537,0,0
8,8,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.73689,0.73689,0.000215759,0,0
2,2,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.39672,1.39672,7.7423e-05,0,0
1,8,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.810076,0.810076,0.000121766,0,0
2,8,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.804742,0.804742,4.7027e-05,0,0
2,1,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.52407,1.52407,9.1653e-05,0,0
8,8,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.674766,0.674766,0.000110047,0,0
8,4,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.796803,0.796803,0.000139878,0,0
2,2,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.18756,1.18756,0.00016702,0,0
1,2,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.643401,0.643401,0.000124022,0,0
8,8,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.635989,0.635989,0.000203801,0,0
2,2,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.33682,1.33682,7.809e-05,0,0
8,4,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.800301,0.800301,0.00014699,0,0
1,4,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.651128,0.651128,0.000196749,0,0
4,1,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.56809,1.56809,8.0187e-05,0,0
2,1,4,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.46968,1.46968,0.000243656,0,0
1,1,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.661453,0.661453,8.1711e-05,0,0
8,4,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.792428,0.792428,0.000116261,0,0
4,8,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.695659,0.695659,0.000148169,0,0
1,2,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.699568,0.699568,7.8222e-05,0,0
2,2,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.676673,0.676673,0.000174741,0,0
8,4,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.597858,0.597858,7.9505e-05,0,0
1,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.6534,0.6534,8.2996e-05,0,0
1,8,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.06168,1.06168,0.000100015,0,0
1,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.677461,0.677461,8.3922e-05,0,0
1,2,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.704419,0.704419,0.000169893,0,0
8,1,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.649939,0.649939,8.9396e-05,0,0
4,1,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.622185,0.622185,0.000108521,0,0
4,8,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.824476,0.824476,8.296e-05,0,0
4,2,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.679406,0.679406,0.000111104,0,0
2,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.587694,0.587694,0.000165816,0,0
8,1,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.645796,0.645796,8.4985e-05,0,0
2,2,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.808747,0.808747,8.1976e-05,0,0
