KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,4,10,128,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.652258,0.652258,0.000184084,0,0
8,4,10,128,array,false,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.469,2.469,8.6987e-05,0,0
8,4,10,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.575582,0.575582,9.4219e-05,0,0
8,4,10,32,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.570163,0.570163,7.1654e-05,0,0
8,4,10,64,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.603588,0.603588,7.4042e-05,0,0
8,4,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.566277,0.566277,9.4991e-05,0,0
8,4,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.595012,0.595012,8.021e-05,0,0
1,4,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,1.22779,1.22779,8.1386e-05,0,0
2,4,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.852105,0.852105,7.4391e-05,0,0
4,4,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.696987,0.696987,0.000104312,0,0
8,1,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.554433,0.554433,8.0074e-05,0,0
8,2,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.554593,0.554593,7.8968e-05,0,0
8,8,10,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.498394,0.498394,0.000291526,0,0
8,8,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.531463,0.531463,8.9256e-05,0,0
8,8,2,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.525293,0.525293,7.7977e-05,0,0
8,8,4,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.509975,0.509975,8.0359e-05,0,0
8,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.491483,0.491483,0.000155349,0,0
8,8,10,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.31291,2.31291,7.5842e-05,0,0
