KERNEL_DATA_BLOCK_SIZE, KERNEL_GRID_SPLIT, KERNEL_MAX_DIM_UNROLL, KERNEL_PREFETCH_SIZE, KERNEL_STORE_DATA, KERNEL_TRANSFER_WHOLE_DATASET, KERNEL_USE_LOCAL_MEMORY, LOCAL_SIZE, OPTIMIZATION_FLAGS, VERBOSE, duration
4, 8, 1, 128, array, false, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 2.93084
1, 8, 1, 128, array, false, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 5.38079
4, 1, 1, 128, array, false, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 3.23323
4, 8, 1, 128, array, false, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 2.93019
4, 8, 1, 16, array, false, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 3.19277
4, 8, 1, 128, array, false, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 2.93021
4, 8, 1, 128, array, true, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 2.92021
4, 8, 1, 128, array, false, false, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 7.01716
4, 8, 1, 16, array, false, true, 64, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 3.12934
4, 8, 1, 128, array, false, true, 256, -cl-unsafe-math-optimizations -cl-denorms-are-zero, true, 2.92955
