KERNEL_TRANS_DATA_SPLIT, KERNEL_TRANS_GRID_BLOCK_SIZE, KERNEL_TRANS_MAX_DIM_UNROLL, KERNEL_TRANS_PREFETCH_SIZE, KERNEL_TRANS_STORE_DATA, KERNEL_TRANS_TRANSFER_WHOLE_GRID, KERNEL_TRANS_USE_LOCAL_MEMORY, OPTIMIZATION_FLAGS, TRANS_LOCAL_SIZE, VERBOSE, duration
1, 1, 4, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 3.97848
1, 1, 4, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 3.97819
1, 1, 4, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 3.97835
1, 1, 1, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 4.12643
1, 1, 4, 16, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 4.14984
1, 1, 4, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 3.97845
1, 1, 4, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 3.97745
1, 1, 4, 32, array, true, false, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 7.62844
1, 1, 4, 32, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 3.97791
1, 1, 4, 16, array, true, true, -cl-unsafe-math-optimizations -cl-denorms-are-zero, 64, true, 4.13451
