KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
4,8,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,45.9915,45.9915,0.000129656,0,0
8,2,10,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,7.57523,7.57523,0.000247175,0,0
2,1,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,4.37564,4.37564,0.000235893,0,0
4,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,4.47705,4.47705,0.000246681,0,0
2,2,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,8.24356,8.24356,0.000301579,0,0
2,4,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.18837,5.18837,0.000300693,0,0
1,8,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,38.6853,38.6853,0.000258289,0,0
2,2,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,4.68404,4.68404,0.000261556,0,0
1,4,10,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,8.26426,8.26426,0.000264014,0,0
1,8,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,28.2636,28.2636,0.000262922,0,0
8,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.50759,5.50759,0.000288739,0,0
2,2,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,7.55189,7.55189,0.000261771,0,0
2,4,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.80851,6.80851,0.000231953,0,0
2,1,10,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.78348,7.78348,0.000257184,0,0
1,1,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,4.40572,4.40572,0.000310288,0,0
8,8,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,35.3614,35.3614,0.000336102,0,0
4,2,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.46601,5.46601,0.00025758,0,0
1,1,10,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.78373,7.78373,0.000259977,0,0
4,8,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,34.8359,34.8359,0.000228531,0,0
8,2,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,4.75664,4.75664,0.00025752,0,0
2,2,2,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.20741,6.20741,0.000256992,0,0
8,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.52814,5.52814,0.000237698,0,0
8,8,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,45.6034,45.6034,0.000244706,0,0
4,8,2,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,39.111,39.111,0.000247375,0,0
4,4,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,12.1317,12.1317,0.00024244,0,0
1,1,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.75837,7.75837,0.000242354,0,0
1,1,4,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,4.33036,4.33036,0.000333214,0,0
2,8,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,36.9782,36.9782,0.000278412,0,0
1,4,1,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.82044,6.82044,0.000250889,0,0
1,4,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,8.30676,8.30676,0.000245164,0,0
1,2,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.053,6.053,0.000239961,0,0
8,8,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,33.7842,33.7842,0.000237875,0,0
1,4,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,8.31078,8.31078,0.000233706,0,0
1,4,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,12.3909,12.3909,0.000286395,0,0
4,1,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.76644,7.76644,0.000281118,0,0
1,8,2,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,39.2922,39.2922,0.000240345,0,0
2,2,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.86817,5.86817,0.000243401,0,0
1,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,4.50031,4.50031,0.000241633,0,0
4,2,2,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.84022,5.84022,0.000240071,0,0
4,4,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,4.73866,4.73866,0.000258067,0,0
2,1,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.74195,7.74195,0.000235636,0,0
2,8,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,45.9534,45.9534,0.000238778,0,0
4,2,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.26635,6.26635,0.000247424,0,0
2,1,10,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.76216,7.76216,0.00024359,0,0
4,4,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,6.61821,6.61821,0.000259737,0,0
8,8,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,35.3299,35.3299,0.0002412,0,0
4,4,1,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.61987,6.61987,0.000233895,0,0
1,4,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,12.4172,12.4172,0.000241396,0,0
8,1,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,4.30918,4.30918,0.000297677,0,0
1,4,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,11.9608,11.9608,0.000242884,0,0
4,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,4.40674,4.40674,0.000205412,0,0
1,8,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,45.9315,45.9315,0.000240567,0,0
4,4,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,6.65258,6.65258,0.000309359,0,0
2,2,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,8.2155,8.2155,0.000237269,0,0
8,8,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,38.465,38.465,0.000273621,0,0
1,2,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,8.44939,8.44939,0.000341641,0,0
4,8,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,38.7032,38.7032,0.00026133,0,0
1,4,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,10.9313,10.9313,0.000258408,0,0
2,8,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,39.2954,39.2954,0.000254481,0,0
8,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,4.26472,4.26472,0.000257984,0,0
8,2,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,7.56937,7.56937,0.000260384,0,0
2,8,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,35.7556,35.7556,0.000235245,0,0
8,1,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,7.70569,7.70569,0.00023972,0,0
1,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,8.65392,8.65392,0.000256763,0,0
4,4,4,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.25805,5.25805,0.000240104,0,0
2,1,4,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,7.74083,7.74083,0.000234459,0,0
2,1,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,7.74194,7.74194,0.00032109,0,0
2,2,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.08453,5.08453,0.000238539,0,0
1,8,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,61.3537,61.3537,0.000243703,0,0
8,2,10,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,4.7991,4.7991,0.000245537,0,0
1,8,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,36.8856,36.8856,0.000300972,0,0
