KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
8,8,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.61674,2.61674,0.00013243,0,0
8,8,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.30979,2.30979,0.000274594,0,0
2,2,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.89469,1.89469,0.000263206,0,0
4,1,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,4.04759,4.04759,0.000296448,0,0
2,1,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.64572,1.64572,0.000226798,0,0
1,1,2,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,4.12247,4.12247,0.00025331,0,0
2,4,4,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.4233,2.4233,0.000317712,0,0
2,8,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,3.76337,3.76337,0.000258417,0,0
2,1,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.65879,1.65879,0.000254304,0,0
8,1,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.61814,1.61814,0.000246632,0,0
8,4,10,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.54837,2.54837,0.000253675,0,0
1,8,2,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.62896,2.62896,0.000260529,0,0
4,8,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,4.05539,4.05539,0.000252743,0,0
1,4,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.43807,2.43807,0.00025873,0,0
8,4,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.33357,2.33357,0.000259977,0,0
8,8,4,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.40178,2.40178,0.000264686,0,0
4,8,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.58776,2.58776,0.000254984,0,0
8,8,1,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,3.56369,3.56369,0.000257685,0,0
4,4,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.46392,2.46392,0.000252367,0,0
8,8,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.38164,2.38164,0.000278362,0,0
1,1,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.66178,1.66178,0.000264127,0,0
8,2,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.83189,1.83189,0.000254446,0,0
8,4,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,3.17087,3.17087,0.000248304,0,0
4,8,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.41715,2.41715,0.000257049,0,0
8,4,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.84658,2.84658,0.00025251,0,0
1,1,4,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,4.10179,4.10179,0.000246576,0,0
8,4,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.36738,2.36738,0.000244969,0,0
8,4,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.84048,1.84048,0.000276323,0,0
4,1,4,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,4.07165,4.07165,0.000277654,0,0
2,1,1,16,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.77148,1.77148,0.00027093,0,0
2,8,4,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.60613,2.60613,0.000273746,0,0
1,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,4.27652,4.27652,0.000273889,0,0
1,8,1,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,3.65965,3.65965,0.000274469,0,0
1,2,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.79839,1.79839,0.000257823,0,0
1,2,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,1.9189,1.9189,0.000267963,0,0
4,4,2,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.36279,2.36279,0.0002283,0,0
2,4,10,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.45887,2.45887,0.000247816,0,0
1,4,2,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.43813,2.43813,0.000275815,0,0
2,4,4,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.42314,2.42314,0.000283076,0,0
4,8,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.44144,2.44144,0.000303899,0,0
8,2,2,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,2.86408,2.86408,0.000251302,0,0
2,8,4,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,3.76158,3.76158,0.000262424,0,0
1,8,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,2.68471,2.68471,0.000276412,0,0
4,2,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,1.81304,1.81304,0.000278265,0,0
1,2,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.91655,1.91655,0.000278896,0,0
2,1,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,4.08627,4.08627,0.0002766,0,0
8,4,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,3.21594,3.21594,0.000277329,0,0
4,8,1,128,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,3.6593,3.6593,0.000278232,0,0
2,2,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,2.89948,2.89948,0.000246485,0,0
