KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
2,8,10,16,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,11.2033,11.2033,9.1837e-05,0,0
2,8,10,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,11.6213,11.6213,0.000237708,0,0
2,8,10,64,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,12.6925,12.6925,0.000300099,0,0
2,8,10,16,array,false,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,10.7594,10.7594,0.00029148,0,0
2,8,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.59056,4.59056,0.000255406,0,0
2,8,10,16,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.70856,4.70856,0.000253603,0,0
2,8,10,16,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.63972,4.63972,0.000239055,0,0
1,8,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.70642,5.70642,0.000269328,0,0
4,8,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.12996,3.12996,0.000323251,0,0
8,8,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.76861,3.76861,0.000250675,0,0
4,1,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.62545,3.62545,0.000342846,0,0
4,2,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.33023,3.33023,0.000250381,0,0
4,4,10,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.22273,3.22273,0.000249094,0,0
4,8,1,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.13122,3.13122,0.000243602,0,0
4,8,2,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.12866,3.12866,0.000240864,0,0
4,8,4,16,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.13262,3.13262,0.000250049,0,0
4,8,2,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.97483,2.97483,0.000240426,0,0
4,8,2,64,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.7895,3.7895,0.000239599,0,0
4,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.96522,2.96522,0.000212028,0,0
4,8,2,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,8.41247,8.41247,0.000239336,0,0
4,8,2,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.1738,3.1738,0.00025353,0,0
4,8,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.01802,3.01802,0.000248537,0,0
1,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.9167,5.9167,0.000309107,0,0
2,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.45836,4.45836,0.000276654,0,0
8,8,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.6045,3.6045,0.000241517,0,0
4,1,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.29018,3.29018,0.000255967,0,0
4,2,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.08037,3.08037,0.000246466,0,0
4,4,2,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.0042,3.0042,0.000245123,0,0
4,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.96424,2.96424,0.000313138,0,0
4,8,4,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.96424,2.96424,0.000260256,0,0
4,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.96467,2.96467,0.000325323,0,0
4,8,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.12234,3.12234,0.000251085,0,0
4,8,1,64,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.77817,3.77817,0.00024459,0,0
4,8,1,32,array,false,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.97418,2.97418,0.00021662,0,0
4,8,1,32,array,true,false,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,8.53838,8.53838,0.000271312,0,0
4,8,1,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.17771,3.17771,0.000259268,0,0
4,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.0167,3.0167,0.000305654,0,0
1,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.91458,5.91458,0.000267592,0,0
2,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.45753,4.45753,0.000301986,0,0
8,8,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.60444,3.60444,0.000235221,0,0
4,1,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.2898,3.2898,0.000253092,0,0
4,2,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.07988,3.07988,0.000243217,0,0
4,4,1,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.00342,3.00342,0.000293199,0,0
